Kent-Sussex-Wessex	0819	4	SO130	XTD	Hither Green Jn – Lee Spur Jn	7	04	7	44	N	N	N	N	N	
Kent-Sussex-Wessex	0819	5	SO130	XTD	Lee Spur Jn – Chislehurst Jn	7	44	11	33	N	N	N	N	N	
Kent-Sussex-Wessex	0819	6	SO130	CSM1	"Chislehurst Jn – St Mary Cray Down
Jn via Reversible Chatham Loop"	11	33	11	71	N	N	N	N	N	
Kent-Sussex-Wessex	0819	7	SO130	CSM2	"Chislehurst Jn – Hawkwood Jn (Up
Chatham Loop)"	11	33	11	66	N	N	N	N	N	
Kent-Sussex-Wessex	0819	8	SO130	XTD	Chislehurst Jn – Petts Wood Jns	11	33	12	27	N	N	N	N	N	
Kent-Sussex-Wessex	0819	9	SO130	XTD	"Petts Wood Jns – Sevenoaks
Substation"	12	27	21	74	N	N	N	N	N	
Kent-Sussex-Wessex	0819	10	SO130	XTD	"Sevenoaks Substation – Tonbridge
West Jn"	21	74	29	35	N	N	N	N	N	
Kent-Sussex-Wessex	0819	11	SO130	XTD	"Tonbridge West Jn – Tonbridge East
Jn"	29	35	29	55	N	N	N	N	N	
Kent-Sussex-Wessex	0819	12	SO130	XTD	Tonbridge East Jn – Paddock Wood	29	55	34	67	N	N	N	N	N	
Kent-Sussex-Wessex	0819	13	SO130	XTD	"Paddock Wood – Ashford (Jn with
Maidstone line)"	34	67	55	54	N	N	N	N	N	
Kent-Sussex-Wessex	0819	14	SO130	XTD	"Ashford (Jn with Maidstone line) –
Ashford Station"	55	54	56	09	N	N	N	N	N	
Kent-Sussex-Wessex	0819	15	SO130	XTD	"Ashford Station – Ashford (Jn with
Hastings line)"	56	09	56	20	N	N	N	N	N	
Kent-Sussex-Wessex	0819	16	SO130	XTD	"Ashford (Jn with Hastings line) –
Ashford (Jn with Canterbury Line)"	56	20	56	35	N	N	N	N	N	
Kent-Sussex-Wessex	0819	17	SO130	XTD	"Ashford (Jn with Canterbury Line) –
Saltwood Jn"	56	35	66	38	N	N	N	N	N	
Kent-Sussex-Wessex	0819	18	SO130	XTD	Saltwood Jn – Folkestone Central	66	38	69	73	N	N	N	N	N	
Kent-Sussex-Wessex	0819	19	SO130	XTD	"Folkestone Central – Folkestone East
Staff Halt"	69	73	70	73	N	N	N	N	N	
Kent-Sussex-Wessex	0819	20	SO130	XTD	"Folkestone East Staff Halt – Dover
Substation"	70	73	76	45	N	N	N	N	N	
Kent-Sussex-Wessex	0819	21	SO140	SBJ	Swanley Jn (SO110) – Otford Jn	17	46	24	53	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0820	1	SO140	OJS	Otford Jn – Sevenoaks Jn	24	53	26	58	N	N	N	N	N	
Kent-Sussex-Wessex	0820	2	SO140	SBJ	Otford Jn – Jn with Maidstone line	24	53	58	61	N	N	N	N	N	
Kent-Sussex-Wessex	0820	3	SO150	WMS	Western Jn (SO110) – Middle Jn	43	70	44	13	N	N	N	N	N	
Kent-Sussex-Wessex	0820	4	SO150	SEJ1	Eastern Jn (SO110) – Middle Jn	0	00	0	23	N	N	N	N	N	
Kent-Sussex-Wessex	0820	5	SO150	SEJ2	Middle Jn – Sheerness on Sea	44	13	51	19	N	N	N	N	N	
Kent-Sussex-Wessex	0820	6	SO160	FDM	Faversham Jn (SO110) – Buckland Jn	52	13	76	32	N	N	N	N	N	
Kent-Sussex-Wessex	0820	7	SO160	FDM	Buckland Jn – Change of mileage	76	32	77	76	N	N	N	N	N	
Kent-Sussex-Wessex	0820	8	SO160	FDM	"Change of mileage – Dover
Substation"	76	53	76	45	N	N	N	N	N	
Kent-Sussex-Wessex	0820	9	SO170	TTH	"Tonbridge East Jn (SO130) –
Tunbridge Wells"	29	55	34	32	N	N	N	N	N	
Kent-Sussex-Wessex	0820	10	SO170	TTH	Tunbridge Wells – Bo Peep Jn	34	32	60	69	N	N	N	N	N	
Kent-Sussex-Wessex	0820	11	SO180	PWS1	"Paddock Wood – Maidstone West
Change of Mileage"	34	67	44	56	N	N	N	N	N	
Kent-Sussex-Wessex	0820	12	SO210	APL	"Appledore (SO600) – Dungeness
Ground Frame"	64	50	73	65	N	N	N	N	N	
Kent-Sussex-Wessex	0820	13	SO220	ACR	"Ashford (Jn with Canterbury line
(SO130)) – Hitachi Depot (Access)"	56	35	57	05	N	N	N	N	N	
Kent-Sussex-Wessex	0820	14	SO220	ACR	"Hitachi Depot (Access) – Minster West
Jn"	57	05	81	69	N	N	N	N	N	
Kent-Sussex-Wessex	0820	15	SO220	ACR	Minster West Jn – Minster East Jn	81	69	82	17	N	N	N	N	N	
Kent-Sussex-Wessex	0820	16	SO220	ACR	"Minster East Jn – Ramsgate
Substation"	82	17	85	22	N	N	N	N	N	
Kent-Sussex-Wessex	0820	17	SO230	FFH2	"Folkstone East Jn (SO130) –
Folkstone Harbour"	71	08	72	13	N	N	N	N	N	
Kent-Sussex-Wessex	0820	18	SO240	BME2	Buckland Jn – Sandwich	99	05	86	46	N	N	N	N	N	
Kent-Sussex-Wessex	0820	19	SO240	BME2	Sandwich – Minster South	86	46	82	21	N	N	N	N	N	
Kent-Sussex-Wessex	0820	20	SO240	MSW	Minster South Jn – Minster West Jn	82	12	81	64	N	N	N	N	N	
Kent-Sussex-Wessex	0820	21	SO240	BME1	Minster South Jn – Minster East Jn	0	23	0	00	N	N	N	N	N	
Kent-Sussex-Wessex	0820	22	SO250	BSF	"Battersea Pier Jn – Connection to
Battersea Reversible"	0	71	1	18	N	N	N	N	N	
Kent-Sussex-Wessex	0820	23	SO250	BSF	"Connection to Battersea Reversible –
Stewarts Lane Jn"	1	18	1	36	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0821	1	SO250	BSF	Stewarts Lane Jn – Factory Jn	1	36	1	61	N	N	N	N	N	
Kent-Sussex-Wessex	0821	2	SO250	BSP1	"Battersea Pier Jn – Connection to
Stewarts Lane Up and Down lines (via
Battersea Reversible)"	0	71	1	33	N	N	N	N	N	
Kent-Sussex-Wessex	0821	3	SO250	BSP1	"Connection to Stewarts Lane Up and
Down lines (via Battersea Reversible)
– Longhedge Jn (via Battersea
Reversible)"	1	33	1	66	N	N	N	N	N	
Kent-Sussex-Wessex	0821	4	SO250	BSP2	Longhedge Jn – Pouparts Jn	1	66	2	19	N	N	N	N	N	
Kent-Sussex-Wessex	0821	5	SO250	FLL2	"Longhedge Jn – Route Boundary
(SW100) (Ludgate Jn)"	1	66	1	77	N	N	N	N	N	
Kent-Sussex-Wessex	0821	6	SO250	CKL	Longhedge Jn – Latchmere Jn No.3	1	66	2	39	N	N	N	N	N	
Kent-Sussex-Wessex	0821	7	SO250	SCC	"Latchmere Jn No.3 – Route Boundary
(SW100) (West London Jn)"	3	45	3	30	N	Y	Y	N	N	
Kent-Sussex-Wessex	0821	8	SO250	CKL	"Latchmere Jn No.3 – Latchmere Jn
No.1 [Duplicated in SW220]"	2	39	2	50	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	9	SO250	WLL	"Latchmere Jn No.1 – Latchmere Jn
No.2 [Duplicated in SW220]"	0	63	0	68	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	10	SO250	CJL	"Latchmere Jn No.2 – Route Boundary
(SW100) (Ludgate Jn)"	0	68	0	47	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	11	SO250	WLL	"Latchmere Jn No.2 – Kensington
Olympia [Duplicated in SW220]"	0	71	3	42	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	12	SO250	WLL	"Kensington Olympia – Northbound
AC/DC changeover"	3	42	5	16	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	13	SO250	WLL	"Northbound AC/DC changeover –
Southbound AC/DC changeover"	5	16	5	43	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	14	SO250	WLL	"Southbound AC/DC changeover –
Route Boundary (MD166) (Mitre
Bridge Jn)"	5	43	5	65	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0821	15	SO260	CAT	Brixton Jn – Canterbury Road Jn	3	08	3	24	N	N	N	N	N	
