Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0686	15	GW108	MLN2	"Change of ELR (Site of Former
Devonport Jn / Cornwall Loop) – St
Budeaux Jn"	247	28	250	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	16	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	17	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	18	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	19	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	20	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	21	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	22	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	23	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	24	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	25	GW110	ANL	"Old Oak Common West – Greenford
East Jn"	3	20	7	15	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0686	26	GW110	ANL	"Greenford East Jn – Greenford West
Jn"	7	15	7	48	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0686	27	GW110	ANL	"Greenford West Jn – Route Boundary
(MD705) (Northolt Jn)"	7	48	8	60	E	E	E	E	E	E	E	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0687	1	GW117	GEC	"Greenford East Jn – Greenford South
Jn"	8	70	8	45	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	2	GW130	AWL	"Route Boundary (EA1310) (Acton Wells
Jn) – Acton East Jn"	0	39	0	08	E	E	E	E	N	N	N	E	E	
