London-North-Eastern	0981	18	LN185	GRS1	"Barkston East Jn – Site of Former Honington
Jn"	110	12	112	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	19	LN185	GRS2	"Site of Former Honington Jn – Sleaford West
Jn"	112	00	120	29	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	20	LN185	GRS2	Sleaford West Jn – Sleaford East Jn	120	29	121	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	21	LN185	GRS2	"Sleaford East Jn – Site of Former Boston
Sleaford Line Jn"	121	21	137	06	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	22	LN185	GRS3	"Site of Former Boston Sleaford Line Jn –
Boston"	106	70	107	24	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0982	1	LN185	GRS3	Boston – Site of Former Firsby East Jn	107	24	122	22	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	2	LN185	GRS4	Site of Former Firsby East Jn - Skegness	0	28	9	17	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	3	LN190	ACD	"Allington East Jn – Allington North Jn (Allington
Chord)"	0	00	0	25	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	4	LN195	NOG1	"Nottingham Branch Jn – Route Boundary
(LN3635) (Rectory Jn SB)"	106	08	111	60	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	5	LN200	NOB3	Wrawby Jn – Pelham Street Jn	12	55	41	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	6	LN206	NOB1	"Route Boundary (LN3625) (Nottingham East
Jn) – Coulson Change of  ELR"	16	02	32	00	R1	R1	R1	Y	Y	Y	Y	Y	Y	"R1Prohibited between Route
Boundary (LN3625) (Nottingham
East Jn) and Newark Crossing
East Jn"
London-North-Eastern	0982	7	LN206	NOB2	Coulson Change of  ELR – Boultham Jn	32	00	32	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	8	LN206	NOB2	Boultham Jn – West Holmes Jn	32	40	32	70	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	9	LN210	NSE	"Newark Crossing South Jn – Newark Crossing
East Jn"	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	10	LN215	BHP	Boultham Jn – Pyewipe Jn	0	00	0	65	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	11	LN220	BCB	Bessacarr Jn – Black Carr Jn	115	72	116	44	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	12	LN235	FWR1	ossington Colliery Jn – End of Line	152	12	151	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	13	LN235	FWR2	ossington Colliery – End of Line	153	31	151	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	14	LN600	ECM2	Shaftholme Jn – Temple Hirst Jn	160	16	169	16	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	15	LN600	ECM3	Temple Hirst Jn – Colton Jn	169	16	182	79	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	16	LN600	ECM4	olton Jn – Colton North Jn	182	79	183	65	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	17	LN600	ECM4	olton North Jn – York Station	183	65	188	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	18	LN600	ECM5	York Station – Birtley Jn	0	00	75	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	19	LN600	ECM5	"Birtley Jn – Low Fell Jn (including via Tyne
Yard)"	75	26	77	37	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	20	LN600	ECM5	Low Fell Jn – King Edward Bridge South Jn	77	37	79	42	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	21	LN600	ECM5	"King Edward Bridge South Jn – Newcastle
West Jn"	79	42	80	05	Y	Y	Y	Y	Y	Y	R1	Y	Y	"R1Prohibited with large
snowploughs fitted"
London-North-Eastern	0982	22	LN600	ECM6	ewcastle West Jn – Newcastle	80	05	80	16	Y	Y	Y	Y	R1	R1	Y	R1	R1	"R1Prohibited Newcastle platforms
10, 11 and 12"
London-North-Eastern	0982	23	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	24	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0982	25	LN600	ECM7	"Heaton South Jn – Route Boundary (SC147)
(Prestonpans Jn)"	1	65	69	67	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0983	1	LN618	HOS	Holgate Jn –  Skelton Jn via York Yard South	0	00	1	54	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	2	LN620	KEB	"King Edward Bridge East Jn – King Edward
Bridge North Jn (East Curve)"	0	00	0	13	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	3	LN622	NEN1	Newcastle Forth Jn – Forth Banks	0	11	0	73	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0983	4	LN624	REB4	"Northallerton Castle Hills Jn – Network Rail
Boundary (Wensleydale Railway)"	0	04	0	18	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0983	5	LN626	LEN2	Northallerton High Jn –  Northallerton East Jn	0	00	0	36	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	6	LN627	LLP1	"Longlands Jn (Down Line) – Boroughbridge
Road LC"	28	58	29	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	7	LN627	LLP3	"Longlands Jn (Up Line) – Boroughbridge Road
LC"	0	69	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	8	LN627	LLP2	"Boroughbridge Road LC – Northallerton East
Jn"	42	21	42	79	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	9	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	10	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	11	LN627	LEN3	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	12	LN627	LEN3	Sunderland South Jn – Boldon East Jn	89	56	94	63	Y	Y	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	0983	13	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	14	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	15	LN627	LEN3	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	16	LN627	LEN3	Park Lane Jn – High Level Bridge Jn	100	65	101	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	17	LN627	LEN3	High Level Bridge Jn – Newcastle East Jn	101	33	101	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0983	18	LN628	NEK	South Hylton – Sunderland South Jn	3	20	0	00	N	N	N	Y	N	N	N	N	N	
London-North-Eastern	0983	19	LN629	PDL	"Pelaw Metro Jn – Network Rail Boundary
(Metro Operating)"	97	64	98	01	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0983	20	LN630	PUL	"Pelaw Metro Jn – Network Rail Boundary
(Metro Operating)"	97	64	97	77	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0983	21	LN631	DSN1	Darlington South Jn – Eaglescliffe South Jn	0	29	8	58	R1	Y	Y	Y	Y	Y	Y	Y	Y	"R1Drivers of Down passenger trains
stopping at Allens West must
bring the train to a stand 1 car
length in rear of UN23 signal"
London-North-Eastern	0983	22	LN632	DSN2	Stockton Cut Jn – Redcar Change of Mileage	10	13	21	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0984	1	LN632	DSN3	Redcar Change of Mileage – Saltburn	22	16	27	57	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	2	LN634	MBW1	Guisborough Jn – Battersby Jn	0	00	10	54	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	3	LN634	MBW2	Battersby Jn (End of Line) – Grosmont Jn	11	61	29	66	R1	R1	R1	R1	R1	R1	R1	R1	R1	"R1See Sectional Appendix Local
Instructions"
London-North-Eastern	0984	4	LN634	MBW3	Grosmont Jn – Whitby	24	44	30	61	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	5	LN636	No ELR	Beam Mill Jn – Network Rail Boundary	18	03	18	67	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	6	LN638	WCI	Shell Jn –  Network Rail Boundary	0	00	1	03	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	7	LN642	SSK1	"Saltburn West Jn –  Network Rail Boundary
(Cleveland Potash)"	27	05	34	29	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	8	LN644	BOH	Hartburn Jn – Bowesfield SB (Hartburn Curve)	0	00	0	44	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	9	LN646	STF	Norton-on-Tees South –  Ferryhill South Jn	0	00	10	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	10	LN648	NWE	Norton-on-Tees West –  Norton-on-Tees East	0	29	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	11	LN652	POC1	Billingham Jn – Phillips Siding Jn	0	00	3	25	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	12	LN652	POC2	Phillips Siding Jn – Seal Sands Branch Jn	3	25	5	01	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	13	LN652	SES	"Seal Sands Branch Jn – End of NR
maintenance"	0	00	2	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	14	LN656	SOT	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	15	LN662	HNB	Ryhope Grange – Hendon	0	00	1	53	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	16	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	17	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	18	LN666	GLT	oldon North Jn – Tyne Dock	0	32	1	26	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	19	LN670	JAW1	"Pelaw Jn – Network Rail Boundary (Shell Mex
Depot Jarrow)"	0	09	3	36	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	20	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0984	21	LN674	HLK	"High Level Bridge Jn – Greensfield Jn (West
Curve)"	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	22	LN676	PLG1	Park Lane Jn – Site of Former High Street Jn	100	65	101	15	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0984	23	LN676	PLG2	Site of Former High Street Jn – Greensfield Jn	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0985	1	LN676	HLK	Greensfield Jn – King Edward Bridge South Jn	0	16	0	48	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	2	LN678	DAE1	"Darlington North Jn – Site of Former Parkgate
Jn"	44	36	44	64	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	3	LN678	DAE1	Site of Former Parkgate Jn – Shildon SB	0	00	8	29	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	4	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	Y	Y	Y	Y	R1	R1	Y	Y	Y	"R1Prohibited Shildon Up platform and
Bishop Auckland Single platform
with deflated suspension"
London-North-Eastern	0985	5	LN682	NEC1	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	Y	Y	Y	Y	R1	R1	R1	R1	R1	"R1See Sectional Appendix Local
Instructions"
London-North-Eastern	0985	6	LN682	NEC1	Norwood Jn – Site of Former Blaydon East Jn	1	71	5	28	Y	Y	Y	Y	R1	R1	R1	R1	R1	"R1See Sectional Appendix Local
Instructions"
London-North-Eastern	0985	7	LN682	NEC2	"Site of Former Blaydon East Jn – Route
Boundary (NW9909) (Petteril Bridge Jn)"	3	78	58	00	Y	Y	Y	Y	"R1
R2"	"R1
R2"	R2	R2	R2	"R1Prohibited Haltwhistle Down
platform with deflated suspension
R2See Sectional Appendix Local
Instructions"
London-North-Eastern	0985	8	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	9	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	10	LN694	BNE	Benton North Jn – Site of Former Earsdon Jn	0	00	2	53	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	11	LN694	EJM	Site of Former Earsdon Jn – Morpeth North Jn	7	08	20	47	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	12	LN696	HJM	Hepscott Jn –  Morpeth Jn	19	44	20	47	Y	Y	Y	Y	Y	Y	Y	Y	Y	
