London-North-Western-North	0816	16	NW1011	GSG	Gresty Lane Jn – Salop Goods Jn	0	00	0	37	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-North	0816	17	NW1013	CSG	"Crewe Sorting Sidings North – Gresty
Lane"	157	26	157	47	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-North	0816	18	NW1015	CIL	"Salop Goods Jn – Crewe North Jn
(Chester Independent Lines)"	157	64	158	18	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-North	0816	19	NW1017	LLI	"Salop Goods Jn – Boundary (NW1001)
(Crewe Coal Yard - Liverpool
Independent Lines)"	157	71	158	73	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-North	0816	20	NW1019	"CHW1/
2"	"Acton Grange Jn - Warrington South Jn
(Helsby lines)"	16	19	17	76	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0816	21	NW1021	WEE	Winwick Jn – Earlestown East Jn	185	49	187	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0817	1	NW1021	DSE	"Earlestown East Jn - Newton-le-Willows
Jn (Electrified section)"	14	75	16	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	2	NW1021	NGJ	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	3	NW1023	HOB2	Haydock Branch Jn – End of Line	0	00	0	53	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	4	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn	0	18	0	78	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	5	NW1027	PSR1	"Preston South Jn – Preston Docks
Branch (Change of ELR)"	21	39	21	47	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	6	NW1027	PSR2	"Preston Docks Branch (Change of ELR) –
Network Rail Boundary (Ribble Steam
Railway)"	0	00	0	40	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	7	NW2001	WJL1	NW1001 (Weaver Jn) – Ditton East Jn	174	53	182	67	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	8	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	9	NW2001	WJL3	Speke Est Jn – Edge Hill East Jn	186	72	191	75	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	10	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	11	NW2003	RDB	"Runcorn – Network Rail Boundary
(Runcorn Dock Branch)"	0	02	0	69	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	12	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	13	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	14	NW2009	SDJ2	End of Line (Latchford) – Ditton East Jn	10	06	18	55	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	15	NW2011	WOA1	Walton Old Jn – Arpley Jn	0	68	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	16	NW2015	DSE	Ordsall Lane Jn – Newton-le-Willows Jn	30	38	16	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	17	NW2015	DSE	"Newton-le-Willows Jn  - Earlestown East
Jn (Electrified section)"	16	19	14	75	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	18	NW2015	DSE	Earlestown East Jn - Edge Hill	14	75	1	57	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	19	NW2017	SCN	"Eccles Station Jn – Network Rail (Weaste
Branch) / MSC Boundary"	0	00	0	54	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0817	20	NW2019	PJL	"Parkside Jn – Lowton Jn (East Curve
lines)"	0	05	0	36	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	21	NW2021	EEE	"Earlestown South Jn – Earlestown West
Jn (Liverpool Curve)"	186	74	187	15	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	22	NW2023	SBH3	Springs Branch Jn – Gerards Bridge Jn	12	54	5	66	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0817	23	NW2023	SBH2	Gerards Bridge Jn – St Helens Station Jn	5	66	5	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0818	1	NW2023	SBH1	St Helens Station Jn – Huyton Jn	5	12	0	-18	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	2	NW2025	SHS1	"St. Helens Station Jn – Network Rail
Boundary"	7	15	6	04	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0818	3	NW2027	SCT1/2	"Edge Hill, Bootle Branch Jn – Regent
Road L.C. Network Rail Boundary
(MDHC)"	0	14	5	53	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0818	4	NW2029	ME3	Olive Mount Jn – Edge Lane Jn	0	10	0	52	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0818	5	NW3001	CNH1	"Crewe North Jn – Limit of Electrification
(Crewe Steelworks)"	158	18	159	55	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	6	NW3001	CNH1	"Limit of Electrification (Crewe Steelworks)
– Chester East Jn"	159	55	178	66	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	7	NW3001	CNH2	"Chester East Jn – Change of ELR
(Windmill Lane Tunnel)"	178	66	179	56	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	R1Prohibited Chester parcels platform
London-North-Western-North	0818	8	NW3001	CNH3	"Change of ELR (Windmill Lane Tunnel) –
Route Boundary LNW / Wales"	179	56	188	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	9	NW3001	CNH3	Route Boundary LNW / Wales - Holyhead	188	40	263	56	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	10	NW3003	CHW1	Chester East Jn – Acton Grange Jn	0	24	16	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	11	NW3005	WSJ2	"Route Boundary (GW731) (Crewe Jn) –
Route Boundary Wales / LNW including
‘Up & Down’ loop Wrexham General ELR
WDB1"	199	00	202	60	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	12	NW3005	WSJ2	"Route Boundary Wales / LNW  - Saltney
Jn"	202	60	212	06	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0818	13	NW3007	WDB1	"Wrexham Central – Wrexham Exchange
Jn"	0	16	0	68	Y	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	0818	14	NW3007	WDB1	"Wrexham Exchange Jn – Change of RA
at 13m 20ch (South end of Hawarden
Bridge)"	0	68	13	20	Y	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	0818	15	NW3007	WDB1	"Change of RA at 13m 20ch (South end of
Hawarden Bridge) – Change of ELR"	13	20	13	33	Y	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	0818	16	NW3007	"WDB2
/3"	"Change of ELR - Route Boundary Wales /
LNW"	14	15	11	00	Y	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	0818	17	NW3007	WDB3	"Route Boundary Wales / LNW  Bidston
Dee Jn"	11	00	0	08	Y	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	0818	18	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0819	1	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0819	2	NW3013	HHJ	"Hooton South. Jn – Ellesmere Port (Limit of
DC electrification)"	0	02	3	44	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0819	3	NW3013	HHJ	"Ellesmere Port (Limit of DC electrification) –
Helsby Jn"	3	44	8	67	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0819	4	NW3015	LJT1	"Llandudno Jn – Blaenau Ffestiniog, End of
Line"	0	30	27	53	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-North	0819	5	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	6	NW3019	GLA	Gaerwen – Network Rail Boundary	0	00	17	37	N	N	N	N	N	N	N	N	N	N	"Line out of use
NC/G1/2008/LNW396"
London-North-Western-North	0819	7	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	Y	N	N	N	Y	N	N	Y	Y	N	
London-North-Western-North	0819	8	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	9	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	10	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	11	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	12	NW3023	CDM2	"Change of ELR (Altrincham) – Mickle Trafford
Jn"	7	69	35	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	13	NW3025	WJP1	"Skelton Jn – Partington Jn Network Rail
Boundary"	30	12	27	20	N	N	N	N	N	N	N	N	N	N	"Line out of use from Signal D.7 to the
Network Rail boundary
NC/G1/2008/LNW395"
London-North-Western-North	0819	14	NW3027	CDM1	"Network Rail Boundary (Metrolink) –
Deansgate Jn"	6	77	7	05	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0819	15	NW3027	CDM1	Deansgate Jn – Altrincham	7	05	8	00	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0819	16	NW3029	SNJ	Sandbach North Jn – Northwich West Jn	0	00	8	64	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	17	NW3031	NSN	Northwich South Jn – Northwich Station Jn	8	37	8	66	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	18	NW3033	HEG	"Hartford East Jn – Hartford North Jn (East
Goods line)"	21	67	22	10	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0819	19	NW3035	HWG	"Hartford West Jn – Hartford North Jn (West
Goods line)"	0	11	0	29	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0819	20	NW3037	HCN	Hartford CLC Jn – Hartford Jn	0	72	0	16	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0819	21	NW4001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	R1Prohibited Preston D&UGL
London-North-Western-North	0819	22	NW4001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	R1Prohibited Preston D&UGL
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0820	1	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	2	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	3	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	"R1Prohibited Lancaster Down Bay
platforms 1 and 2"
London-North-Western-North	0820	4	NW4001	CGJ7	Carnforth North Jn – Oxenholme	6	08	19	11	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	5	NW4001	CGJ7	Oxenholme – Upperby Jn	19	11	68	23	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	6	NW4001	CGJ7	Upperby Jn – Carlisle	68	23	69	09	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	7	NW4001	WCM1	"Carlisle – Mossband Jn (Including
Kingmoor Yard Goods lines)"	0	00	7	57	Y	"R1
R2"	"R1
R2"	"R1
R2"	Y	Y	Y	Y	"R1
R2"	N	"R1Prohibited Down Goods line between
Caldew Jn and Kingmoor Yard
R2Prohibited Up Goods  line between
Caldew Jn and Mossband Jn"
London-North-Western-North	0820	8	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	9	NW4001	WCM1	"Gretna Jn – Route Boundary (SC001)
(Gretna Green)"	8	57	12	30	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	10	NW4001	UCJ	Upperby Bridge Jn – Upperby Bridge	67	58	68	23	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	11	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0820	12	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	13	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	14	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	"R1Prohibited Blackpool North platforms
7 and 8"
London-North-Western-North	0820	15	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	16	NW4009	WPS	Poulton – End of Line	14	40	18	08	N	N	N	N	N	N	N	N	N	N	"Line out of use from 14m 75ch to the end
of the line
NC/G1/2001/LNW294"
London-North-Western-North	0820	17	NW4011	MSM	"Morecambe South Jn – Morecambe
Buffer Stops"	0	00	2	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	18	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	19	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	20	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	21	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	22	NW4021	UCJ	Bog Jn – Rome St Jn	1	07	1	23	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	23	NW4023	ULR	Upperby Jn – London Rd Jn	0	00	0	34	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	24	NW4025	MCG	Currock Jn – Bog Jn	0	00	0	44	N	N	N	N	N	Y	Y	Y	N	N	
London-North-Western-North	0820	25	NW4027	BSN	"Bruntill Branch Jn - Stainton Jn via Down
and Up Brunthill Branch Siding"	0	66	0	2	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0820	26	NW4027	ETC	"End of Line Buffer Stops - Network Rail
Boundary / Brunthill via Down and Up
Brunthill line"	96	9	95	6	N	N	N	N	N	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0821	1	NW4029	GJH	Mossband Jn – Bush-on-Esk West Jn	3	02	1	06	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0821	2	NW4029	GJH	"Bush-on-Esk West Jn – Network Rail
Boundary"	1	06	0	24	N	N	N	N	N	N	N	N	N	N	Line out of use
