Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge									Notes
Anglia	0454	1			GB1/2	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	
Anglia	0454	2	EA1470	Norwich Thorpe Jn – Lowestoft	N	Y *	R1	R1	N	N	N	N	N	"R1W7 and W8 prohibited East of
Oulton Broad North Jn.
STNC NC/G1/2010/ICP-G/EA001 applies to 30/12/2012"
Anglia	0454	3	EA1480	"Whitlingham Jn – North Walsham (End of
Station Loop)"	N	Y *	R1	R1	N	N	N	N	N	"R1Prohibited on the Down road and
5mph on the Up road at Bridge
No.370 at 08m 08ch between
Salhouse and Wroxham."
Anglia	0454	4	EA1480	"North Walsham (End of Station Loop) –
Cromer"	N	Y *	N	N	N	N	N	N	N	
Anglia	0454	5	EA1490	Cromer to Sheringham	N	Y	N	N	N	N	N	N	N	
Anglia	0454	6	EA1500	Brundall Jn – Yarmouth via Acle	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0454	7	EA1510	Reedham Jn – Yarmouth	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0454	8	EA1520	Saxmundham Jn – Sizewell	N	Y *	N	N	N	N	N	N	N	
Anglia	0454	9	EA1530	Coldham Lane Jn – Haughley Jn	N	Y	Y	Y	R1	R1	R1	N	N	"R1Prohibited Coldham Lane Jn to
Chippenham Jn"
Anglia	0454	10	EA1540	Chippenham Jn – Ely Dock Jn	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0454	11	EA1550	"Ely North Jn – Ely West Jn (Ely West
Curve)"	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0454	12	EA1560	Ely North Jn – Peterborough	N	Y	Y	Y	Y	N	Y	N	N	
Anglia	0454	13	EA1570	"March (East & West Jns) –  Whitemoor
Jn"	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0454	14	EA1570	Whitemoor Jn – Wisbech	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0454	15	EA1580	Ely North Jn – Trowse Jn	N	Y	Y	Y	N	N	N	N	N	
Anglia	0454	16	EA1580	Ely North Jn – Trowse Jn	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0454	17	EA1744	Europa Jn – Boss Hall Jn	N	Y	Y	Y	Y	Y	Y	Y	Y	
