Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western-and-Wales	0764	1	GW220	RWC	"Reading, Oxford Road Jn – Reading
West Jn"	0	43	0	02	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	2	GW225	RFR	"Caversham Road Jn – Oxford Road
Jn"	36	25	36	74	8	Y	Y	Y	N	Y	N	Y	N	
Western-and-Wales	0764	3	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	4	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	5	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	7	Y	Y	R1	Y	Y	Y	Y	Y	"R1Operation in single headed or ‘top and tail’
mode with track recording and track
Inspection coaches only"
Western-and-Wales	0764	6	GW277	OXD	"Oxford North Jn – Route Boundary
(MD736) (29m 25ch)"	30	09	29	25	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	7	GW300	ABW	Abbotswood Jn – Norton Jn	0	00	0	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	8	GW300	OWW	Norton Jn – Shrub Hill Jn	117	26	120	46	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	9	GW300	OWW	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	10	GW300	STO	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	11	GW310	OWW	Wolvercot Jn – Norton Jn	66	32	117	26	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	12	GW317	OWW	"Honeybourne Stratford Line Junction
– Start of branch mileage"	102	06	101	31	7	N	Y	R1	Y	Y	Y	Y	Y	R110mph maximum speed
Western-and-Wales	0764	13	GW317	STD	"Start of branch mileage – Long
Marston"	0	00	2	70	7	N	Y	R1	Y	Y	Y	Y	Y	R110mph maximum speed
Western-and-Wales	0764	14	GW340	WAH	"Shrub Hill Jn – Henwick SB (Branch
Single)"	120	46	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	15	GW340	WAH	Henwick SB – Shelwick Jn	120	46	148	11	7	Y	Y	R1	Y	"R2
R3"	Y	Y	Y	"R15mph Comer Road overbridge (122m 00ch)
R2Prohibited Down Main Line between Great
Malvern and Malvern Wells SB
R3Prohibited through Ledbury Tunnel"
Western-and-Wales	0764	16	GW350	BLW	"Worcester Tunnel Jn – Site of former
Rainbow Hill Jn Change of ELR"	0	30	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	17	GW350	WAH	"Site of former Rainbow Hill Jn Change
of ELR – Henwick SB (Droitwich
Single)"	120	64	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	18	GW370	OWW	"Droitwich Spa – Route Boundary
(MD430) (Kidderminster)"	126	21	130	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	19	GW401	BAG2	"Route Boundary (MD306)
(Ashchurch) – Gloucester Barnwood
Jn (Change of ELR)"	77	40	92	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	20	GW401	CHL	"Gloucester Barnwood Jn (Change of
ELR) – Gloucester Yard Jn (Change
of ELR)"	92	21	93	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	21	GW401	BGL1	"Gloucester Yard Jn (Change of ELR)
– Change of ELR"	93	08	94	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
