Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0865	1	NW7001	MVN2	"Hall Royd Jn – Route Boundary (LN854) (Turners
Lane Jn)"	19	61	22	62	N	N	N	N	
London-North-Western-North	0865	2	NW7005	CEH	Castleton East Jn –  Castleton North Jn	0	00	0	37	N	N	N	N	
London-North-Western-North	0865	3	NW7005	CPI1	Castleton South Jn – Castleton North Jn	8	21	8	50	N	N	N	N	
London-North-Western-North	0865	4	NW7005	CPI2	"Castleton North Jn – Network Rail / East
Lancashire Railway Boundary (Hopwood)"	8	50	9	04	N	N	N	N	
London-North-Western-North	0865	5	NW7006	SFO	Todmorden Viaduct Jn – Stansfield Hall Jn	0	0	0	18	N	N	N	N	
London-North-Western-North	0865	6	NW7007	FCO	Farington Curve Jn – Ormskirk	25	64	12	15	N	N	N	N	
London-North-Western-North	0865	7	NW7009	FHR1	Farington Curve Jn - Lostock Hall Depot	0	00	0	75	N	H	N	N	
London-North-Western-North	0865	8	NW7009	FHR2	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	N	H	N	N	
London-North-Western-North	0865	9	NW7009	FHR3	"Lostock Hall Jn – Change of ELR (Site of Former
Bamber Bridge Jn)"	1	42	2	10	N	H	N	N	
London-North-Western-North	0865	10	NW7009	FHR4	"Change of ELR (Site of Former Bamber Bridge Jn)
– Blackburn Bolton Jn"	2	10	10	11	N	H	N	N	
London-North-Western-North	0865	11	NW7009	FHR4	Blackburn Bolton Jn – Blackburn	10	11	10	42	N	"H
R1"	N	N	"1Prohibited Blackburn Up & Down Passenger
Loop, Up & Down Goods Line and platform 3"
London-North-Western-North	0865	12	NW7009	FHR5	Blackburn – Daisyfield Jn	10	42	11	09	N	"H
R1"	N	N	"1Prohibited Blackburn Up & Down Passenger
Loop, Up & Down Goods Line and platform 3"
London-North-Western-North	0865	13	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	N	N	N	N	
London-North-Western-North	0865	14	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	N	N	N	N	
London-North-Western-North	0865	15	NW7011	LHL	Farington Jn - Limit of Electrification	0	00	0	56	N	H	N	N	
London-North-Western-North	0865	16	NW7011	LHL	"Limit of Electrification - Lostock Hall Jn (Lostock
Hall Lines)"	0	56	0	77	N	H	N	N	
London-North-Western-North	0865	17	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	N	H	N	N	
London-North-Western-North	0865	18	NW7015	PRG	"End of Line (Padiham Power Station Sidings) –
Rose Grove West Jn"	1	76	0	00	N	N	N	N	Line out of use
London-North-Western-North	0865	19	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	N	N	N	N	
London-North-Western-North	0865	20	NW7019	MPR2	"Thorpes Bridge Jn – Network Rail Boundary
(Metrolink (Down Up Boundary at 2m 32ch))"	2	22	3	05	N	N	N	N	
London-North-Western-North	0865	21	NW7021	MVL1	Miles Platting Jn – Philips Park West Jn	1	30	1	59	N	H	N	N	
London-North-Western-North	0865	22	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	N	H	N	N	
London-North-Western-North	0865	23	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	N	H	N	N	
London-North-Western-North	0865	24	NW7021	MVL1	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	N	N	N	N	
London-North-Western-North	0865	25	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	N	N	N	N	
London-North-Western-North	0865	26	NW7021	MVL3	"Stalybridge Tunnel Jn – Route Boundary (LN860)
(Springwood Jn)"	8	08	15	11	N	N	N	N	
