Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	58	Notes
Scotland	1037	1	SC141	WHL	Craigendoran Jn – Crianlarich Jn	0	01	36	30	5	Y	"R1
R2
R3
R4
R5"	"R6
R7"	"R1
R2
R3
R4
R5"	"R1
R2
R3
R4
R5"	"R1
R2
R3
R4
R5"	N	"R110mph over bridge 26 (9m 52ch)
R220mph over bridge 30 (11m 38ch)
R320mph over bridge 97 (30m 50ch)
R420mph over bridge 108 (33m 14ch)
R5Double Heading prohibited except for
providing assistance and then at only 10mph
over the above structures
R6Class 47/4 locomotives that conform to RA6
shall apply those restrictions applicable to
the Class 47/2
R7Route prohibited to Class 47/4 locomotives
that conform to RA7"
Scotland	1037	2	SC141	WHL	Crianlarich Jn – Fort William	36	30	99	37	5	Y	"R1
R2
R3
R4
R5
R6
R7
R8
R9
R10"	"R11
R12"	"R1
R2
R3
R4
R5
R6
R7
R8
R9
R10"	"R1
R2
R3
R4
R5
R6
R7
R8
R9
R10"	"R1
R2
R3
R4
R5
R6
R7
R8
R9
R10"	N	"R140mph over bridge 116 (36m 39ch)
R220mph over bridge 117 (36m 44ch)
R330mph over bridge 131 (39m 65ch)
R420mph over bridge 149 (45m 03ch)
R520mph over bridge 151 (45m 43ch)
R620mph over bridge 197 (61m 39ch)
R720mph over bridge 201 (63m 50ch)
R830mph over bridge 203 (64m 64ch)
R920mph over bridge 259 (76m 29ch)
R10 Double Heading prohibited except for
providing assistance and then at only 10mph
over the above structures
R11 Class 47/4 locomotives that conform to RA6
shall apply those restrictions applicable to
the Class 47/2
R12 Route prohibited to Class 47/4 locomotives
that conform to RA7"
