Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	325	332	360	387	Notes
Western-and-Wales	0723	1	GW860	CPL	"Penarth Curve North Jn – Penarth
Curve South Jn"	0	25	0	00	H	N	N	N	
Western-and-Wales	0723	2	GW864	PTH	Cogan Jn – Penarth	0	01	1	12	H	N	N	N	
Western-and-Wales	0723	3	GW870	VOG	Barry Jn – Bridgend Bay Platform	0	00	19	04	H	N	N	N	
Western-and-Wales	0723	4	GW871	FOR	"Ford Siding GF – Network Rail
Boundary (Ford Works, Waterton)"	0	00	1	18	N	N	N	N	
Western-and-Wales	0723	5	GW874	BAL	Llynfi Jn – Tondu Jn	0	07	2	70	H	N	N	N	
Western-and-Wales	0723	6	GW874	BAL	Tondu Jn – Maesteg	2	70	8	06	H	N	N	N	
Western-and-Wales	0723	7	GW877	POR	Tondu Jn – Cefn Jn	0	00	2	43	H	N	N	N	
Western-and-Wales	0723	8	GW877	OVE	"Cefn Jn – Margam Abbey Works East
Jn"	7	41	2	41	H	N	N	N	
Western-and-Wales	0723	9	GW877	OVE	"Margam Abbey Works East Jn –
Margam East Jn"	2	41	1	40	N	N	N	N	
Western-and-Wales	0723	10	GW877	OVE	Margam East Jn – Margam Yard Jn	1	40	0	79	N	N	N	N	
Western-and-Wales	0723	11	GW877	OVE	"Margam Yard Jn – Network Rail
Boundary (Port Talbot Docks)"	0	79	0	56	N	N	N	N	
Western-and-Wales	0723	12	GW890	SDI1	"Briton Ferry Up Flying Loop Jn –
Dynover Jn"	206	14	207	67	H	N	N	N	
Western-and-Wales	0723	13	GW890	SDI1	Dynover Jn – Jersey Marine Jn North	207	67	208	33	H	N	N	N	
Western-and-Wales	0723	14	GW890	SDI1	"Jersey Marine Jn North – Change of
Mileage"	208	33	208	49	H	N	N	N	
Western-and-Wales	0723	15	GW890	SDI2	"Change of Mileage – Grovesend
Colliery Loop Jn"	0	00	10	05	H	N	N	N	
Western-and-Wales	0723	16	GW890	SDI2	"Grovesend Colliery Loop Jn – Morlais
Jn"	10	05	10	64	H	N	N	N	
Western-and-Wales	0723	17	GW8901	RSB	Dynevor Jn – Jersey Marine South Jn	19	16	20	24	N	N	N	N	
Western-and-Wales	0723	18	GW892	VON	"Network Rail Boundary (Cwmgwrach)
– Neath & Brecon Jn"	33	14	41	17	N	N	N	N	
Western-and-Wales	0723	19	GW892	VON	Neath & Brecon Jn – Burrows Sidings	41	17	46	30	N	N	N	N	
Western-and-Wales	0723	20	GW893	NAB	"Network Rail Boundary (Onllwyn) –
Neath and Brecon Jn"	10	10	0	01	N	N	N	N	
Western-and-Wales	0723	21	GW894	JER	"Jersey Marine Jn North – Jersey
Marine Jn South"	1	24	2	26	N	N	N	N	
Western-and-Wales	0723	22	GW897	HDY	"Grovesend Colliery Loop Jn – Hendy
Jn"	0	00	0	46	H	N	N	N	
Western-and-Wales	0723	23	GW900	BSW	"Ableton Lane Tunnel – Severn Tunnel
Jn"	10	51	16	73	H	N	N	N	
Western-and-Wales	0723	24	GW900	SWM2	Severn Tunnel Jn – Maindee West Jn	149	14	158	16	H	N	N	N	
Western-and-Wales	0723	25	GW900	SWM2	Maindee West Jn – Cardiff East Jn	158	16	170	18	H	N	N	N	
Western-and-Wales	0723	26	GW900	SWM2	Cardiff East Jn – Cardiff West Jn	170	18	170	56	H	N	N	N	
Western-and-Wales	0723	27	GW900	SWM2	Cardiff West Jn – Court Sart Jn	170	56	206	58	H	N	N	N	
Western-and-Wales	0723	28	GW900	SWM2	Court Sart Jn – Llandore Jn	206	58	214	62	H	N	N	N	
