Route	page	seq	Line of route	Line of Route/Sector Description	Gauge	Notes							
Western-and-Wales	0799	1			W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Western-and-Wales	0799	2	GW874	Bridgend, Llynfi Jn – Tondu	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	3	GW874	Tondun – Maesteg	Y	N	N	N	N	N	N	N	
Western-and-Wales	0799	4	GW877	"Margam Abbey East / Newlands Loop
Jn – Port Talbot Docks (Ogmore Vale
Extension)"	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	5	GW890	"Court Sart Jn / Up Flying Loop Jn –
Dynover Jn (Swansea District Line)"	Y*	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	6	GW890	Dynover Jn – Morlais Jn	S1 *	N	N	N	N	N	N	N	"S1Freight vehicles conforming to
the W6a profile are permitted,
EXCEPT  IFA-S IFA-U
wagons at
Lonlas Tunnel [1m 07ch  -
1m 50ch]"
Western-and-Wales	0799	7	GW8901	Dynevor Jn – Jersey Marine South Jn	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	8	GW892	Cwmgwrach – Neath & Brecon Jn	Y *	N	N	N	N	N	N	N	
Western-and-Wales	0799	9	GW892	Neath & Brecon Jn – Burrows Sidings	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	10	GW893	Onllwyn – Neath and Brecon Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	11	GW894	"Jersey Marine Jn North – Jersey
Marine Jn South"	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0799	12	GW897	"Grovesend Colliery Loop Jn – Hendy
Jn"	Y	N	N	N	N	N	N	N	
