Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0861	1	NW4001	CGJ7	Upperby Jn – Carlisle	68	23	69	09	EH	"T
R1"	N	N	1Prohibited Carlisle bay platforms
London-North-Western-North	0861	2	NW4001	WCM1	"Carlisle – Mossband Jn (Including Kingmoor Yard
Goods lines)"	0	00	7	57	EH	"T
R1"	N	N	1Prohibited Carlisle bay platforms
London-North-Western-North	0861	3	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	EH	T	N	N	
London-North-Western-North	0861	4	NW4001	WCM1	"Gretna Jn – Route Boundary (SC001) (Gretna
Green)"	8	57	12	30	EH	T	N	N	
London-North-Western-North	0861	5	NW4001	UCJ	Upperby Bridge Jn – Upperby Bridge	67	58	68	23	N	N	N	N	
London-North-Western-North	0861	6	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	N	N	N	N	Line out of use
London-North-Western-North	0861	7	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	N	N	N	N	
London-North-Western-North	0861	8	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	N	N	N	N	
London-North-Western-North	0861	9	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	N	N	N	N	
London-North-Western-North	0861	10	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	N	N	N	N	
London-North-Western-North	0861	11	NW4009	WPS	Poulton – End of Line	14	40	18	08	N	N	N	N	"ine out of use from 14m 75ch to the end of the line
C/G1/2001/LNW294"
London-North-Western-North	0861	12	NW4011	MSM	Morecambe South Jn – Morecambe Buffer Stops	0	00	2	12	N	N	N	N	
London-North-Western-North	0861	13	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	N	N	N	N	
London-North-Western-North	0861	14	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	N	N	N	N	
London-North-Western-North	0861	15	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	N	N	N	N	
London-North-Western-North	0861	16	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	N	N	N	N	
London-North-Western-North	0861	17	NW4021	UCJ	Bog Jn – Rome St Jn	1	07	1	23	N	N	N	N	
London-North-Western-North	0861	18	NW4023	ULR	Upperby Jn – London Rd Jn	0	00	0	34	N	H	N	N	
London-North-Western-North	0861	19	NW4025	MCG	Currock Jn – Bog Jn	0	00	0	44	N	N	N	N	
London-North-Western-North	0861	20	NW4027	BSN	"Bruntill Branch Jn - Stainton Jn via Down and Up
Brunthill Branch Siding"	0	66	0	2	N	N	N	N	
London-North-Western-North	0861	21	NW4027	ETC	"End of Line Buffer Stops - Network Rail Boundary /
Brunthill via Down and Up Brunthill line"	96	9	95	6	N	N	N	N	
London-North-Western-North	0861	22	NW4029	GJH	Mossband Jn – Bush-on-Esk West Jn	3	02	1	06	N	N	N	N	
London-North-Western-North	0861	23	NW4029	GJH	Bush-on-Esk West Jn – Network Rail Boundary	1	06	0	24	N	N	N	N	Line out of use
London-North-Western-North	0861	24	NW4031	GSW	Gretna Jn – Route Boundary (SC031) (Eastriggs)	116	13	115	40	N	H	N	N	
London-North-Western-North	0861	25	NW4033	CBC1	Carnforth North Jn – Carnforth Station Jn	0	19	0	38	N	N	N	N	
London-North-Western-North	0861	26	NW4033	CBC1	"Carnforth Station Jn – Limit of Electrification
(Carnforth)"	0	38	0	60	N	N	N	N	
London-North-Western-North	0861	27	NW4033	CBC1	Limit of Electrification (Carnforth) - Whitehaven	0	60	74	66	N	N	N	N	
London-North-Western-North	0861	28	NW4033	CBC1	Whitehaven - Bransty SB (Change of ELR)	74	66	74	73	N	N	N	N	
