Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	165	166	168	170	171	172	175	180	220	221	Notes
London-North-Western-South	0468	1	MD345	BJW1	"Bescot Jn – Walsall Pleck Jn (Change
of Mileage)"	0	00	0	65	N	N	E	Y	N	N	N	N	Y	Y	
London-North-Western-South	0468	2	MD345	BJW2	"Walsall Pleck Jn (Change of Mileage)
– Limit of Electrification"	5	42	6	34	E	N	E	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0468	3	MD345	BJW2	Limit of Electrification – Ryecroft Jn	6	34	6	76	E	N	E	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0468	4	MD345	BJW2	Ryecroft Jn – Change of Mileage	6	76	6	79	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0468	5	MD345	RRN1	"Change of Mileage – Cannock Change
of ELR"	0	00	7	20	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0468	6	MD345	RRN2	"Cannock Change of ELR – Route
Boundary (NW1004) (Rugeley North
Jn)"	7	20	14	00	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0468	7	MD350	BJW3	Anglesea Sidings – Lichfield City Jn	12	15	16	47	N	N	N	N	N	N	N	N	N	N	"Line out of use
NC/G1/2005/LN296"
London-North-Western-South	0468	8	MD355	LTV	"Lichfield South Jn – Lichfield Trent
Valley Jn (Chord Line)"	0	22	0	02	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0468	9	MD360	WDJ	alsall, Pleck Jn – Darlaston Jn	1	16	0	15	E	N	E	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0468	10	MD365	PJW	"Portobello Jn – Wolverhampton Crane
Street Jn"	0	04	1	59	N	N	Y	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0468	11	MD401	DCL	"oute Boundary (GW200) (Heyford) –
Aynho Jn"	75	00	81	13	Y	Y	Y	N	N	R1	Y	Y	Y	T	"R1Route prohibited to Class 172/2 and
172/3"
London-North-Western-South	0468	12	MD401	DCL	ynho Jn – Leamington Spa North Jn	81	13	106	25	R1	R1	R1	R2	N	R3	R4	R4	Y	Y	"R1Prohibited Banbury North Down Bay
platform when laden
R2Prohibited between Aynho Jn and
Leamington Spa
R3Route prohibited to Class 172/2 and
172/3
R4Prohibited between Banbury and
Leamington Spa Jn"
London-North-Western-South	0468	13	MD401	DCL	"eamington Spa North Jn – Tyseley
South Jn"	106	25	125	73	Y	Y	Y	Y	N	Y	N	N	Y	Y	
London-North-Western-South	0468	14	MD401	"BCV/D
CL"	"Tyseley South Jn – Small Heath South
Jn"	125	73	126	59	Y	Y	Y	Y	N	Y	N	N	Y	Y	
London-North-Western-South	0468	15	MD401	BCV	Small Heath South Jn – Bordesley Jn	126	59	128	11	Y	Y	Y	Y	N	Y	N	N	Y	Y	
London-North-Western-South	0468	16	MD405	LSC1	"Leamington Spa North Jn – Milverton
Change of ELR"	106	25	107	06	Y	Y	Y	Y	N	R1	N	N	Y	Y	"R1Route prohibited to Class 172/2 and
172/3"
London-North-Western-South	0468	17	MD405	LSC2	"Milverton Change of ELR – Coventry
South Jn"	0	00	8	45	Y	Y	Y	Y	N	R1	N	N	Y	Y	"R1Route prohibited to Class 172/2 and
172/3"
