Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1060	1	SW140	SDP1	St Denys – Change of ELR	1	59	14	15	7	Y	
Kent-Sussex-Wessex	1060	2	SW140	SDP2	Change of ELR – Fareham	84	10	84	21	7	Y	
Kent-Sussex-Wessex	1060	3	SW140	SDP2	Fareham – Quay Viaduct	84	21	84	77	7	Y	
Kent-Sussex-Wessex	1060	4	SW140	SDP2	Quay Viaduct – Cosham	84	77	90	06	8	Y	
Kent-Sussex-Wessex	1060	5	SW140	SDP2	Cosham – Cosham Jn	90	06	90	43	8	Y	
Kent-Sussex-Wessex	1060	6	SW140	SDP2	Cosham Jn – Portcreek Jn	90	43	91	01	8	Y	
Kent-Sussex-Wessex	1060	7	SW140	FJJ	Cosham Jn – Farlington Jn	90	43	91	14	8	Y	
Kent-Sussex-Wessex	1060	8	SW145	SOY	"Northam Jn – Canute Road LC
(AOCL) (Eastern Docks)"	78	15	79	02	8	Y	
Kent-Sussex-Wessex	1060	9	SW150	RTJ1	Redbridge Jn – Romsey Jn	23	32	18	16	8	Y	
Kent-Sussex-Wessex	1060	10	SW150	RTJ2	Romsey Jn – Salisbury Tunnel Jn	80	35	96	05	8	Y	
Kent-Sussex-Wessex	1060	11	SW155	TTF	Totton – Marchwood	82	43	86	10	8	Y	
Kent-Sussex-Wessex	1060	12	SW155	TTF	Marchwood – Fawley GF	86	10	91	42	8	Y	
Kent-Sussex-Wessex	1060	13	SW160	BLP	Brockenhurst – Lymington Pier	92	66	98	15	8	Y	
Kent-Sussex-Wessex	1060	14	SW165	HAG	"Hamworthy – Hamworthy Goods (Stop
board)"	115	77	118	50	8	Y	
Kent-Sussex-Wessex	1060	15	SW170	SAL	"Wilton Jn – Route Boundary Western
(GW5001) (Westbury South Jn)"	132	33	115	40	8	Y	
Kent-Sussex-Wessex	1060	16	SW175	WEY	"Route Boundary (GW500) (Castle
Cary Jn) – Yeovil Pen Mill Jn"	130	00	141	35	6	Y	
Kent-Sussex-Wessex	1060	17	SW175	YJP	Yeovil Pen Mill Jn – Yeovil Jn	1	42	0	00	6	Y	
Kent-Sussex-Wessex	1060	18	SW175	WEY	Yeovil Pen Mill Jn – Dorchester Jn	141	35	162	14	6	Y	
Kent-Sussex-Wessex	1060	19	SW180	RPE	"Raynes Park – Epsom (Change of
ELR)"	8	51	14	18	8	R1	R1Prohibited Raynes Park platform 1 (Up Epsom line)
Kent-Sussex-Wessex	1060	20	SW180	BTH2	"Route Boundary Sussex (Ewell East)
– Epsom [Duplicated in SO680]"	17	33	18	73	8	Y	
Kent-Sussex-Wessex	1060	21	SW180	BTH3	"Epsom (Change of ELR) –
Leatherhead [Duplicated in SO680]"	14	27	18	02	8	Y	
Kent-Sussex-Wessex	1060	22	SW180	BTH3	"Leatherhead – Route Boundary
Sussex (Horsham) [Duplicated in
SW180]"	18	02	21	09	8	Y	
Kent-Sussex-Wessex	1060	23	SW180	BTH3	"Route Boundary Sussex
(Leatherhead) – Horsham jn (SO520)
[Duplicated in SO680]"	21	09	35	34	8	Y	
