Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1021	1	LN101	ECM1	ings Cross – Copenhagen Jn	0	00	0	64	Y	Y	Y	Y	Y	N	Y	Y	H	N	
London-North-Eastern	1021	2	LN101	ECM1	"Copenhagen Jn – Holloway South /
North Jns"	0	64	1	44	Y	Y	Y	Y	Y	E	Y	Y	Y	N	
London-North-Eastern	1021	3	LN101	ECM1	"Holloway South / North Jns –  Wood
Green North Jn"	1	44	5	07	Y	Y	Y	Y	Y	"E
R1"	Y	Y	Y	N	"R1Prohibited between Hornsey and
Wood Green North Jn"
London-North-Eastern	1021	4	LN101	ECM1	ood Green North Jn –  Langley Jn	5	07	25	73	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	5	LN101	ECM1	Langley Jn – St Neots	25	73	51	58	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	6	LN101	ECM1	St Neots – Fletton Jn	51	58	75	02	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	7	LN101	ECM1	Fletton Jn – Peterborough	75	02	76	29	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	8	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	9	LN101	PMJ	"Peterborough – Helpston Jn via
Stamford lines"	22	19	16	71	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	10	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	11	LN101	ECM1	Retford – Loversall Carr Jn	138	49	150	00	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	12	LN101	ECM1	oversall Carr Jn – Marshgate Jn	152	00	156	26	Y	Y	Y	Y	Y	N	Y	Y	Y	R1	"R1Between Doncaster platforms 1, 3, 4,
6, 7 and 8 and Marshgate Jn only"
London-North-Eastern	1021	13	LN101	ECM1	Marshgate Jn – Shaftholme Jn	156	26	160	16	Y	Y	Y	Y	Y	N	Y	Y	Y	N	
London-North-Eastern	1021	14	LN105	MEB1	Moorgate – Drayton Park	0	00	2	56	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1021	15	LN105	MEB1	Drayton Park – Finsbury Park Jn	2	56	3	37	Y	N	N	Y	N	N	N	N	H	N	
London-North-Eastern	1021	16	LN110	CFP	"Route Boundary (EA1320) (Canonbury
West Jn) - Finsbury Park Jn"	3	20	4	33	Y	N	Y	Y	N	E	Y	Y	H	N	
London-North-Eastern	1021	17	LN115	CRF1	"openhagen Jn – Route Boundary
(EA1320) (North London Incline)"	0	00	0	20	N	N	N	N	N	E	Y	Y	Y	N	
London-North-Eastern	1021	18	LN120	HDB	"Wood Green Jn – Langley Jn via
Hertford"	5	07	28	15	R1	R1	R1	R1	R1	N	R1	R1	R1	N	"R1No more than 18 electric trains per line
may operate over the Hertford Loop in
any one hour period"
London-North-Eastern	1021	19	LN125	SBR	"Cambridge Jn – Route Boundary
(EA1230)"	32	11	45	60	R1	R1	R1	R1	R1	N	R1	R1	H	N	"R1See Sectional Appendix Local
Instructions"
London-North-Eastern	1021	20	LN126	DCF	itchin North Jn – Hitchin East Jn	32	53	34	05	Y	N	N	Y	N	N	Y	N	N	N	
