Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1027	1	LN736	NUJ2	"Woodburn Jn – Site of former Nunnery
Jn"	42	29	41	68	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1027	2	LN736	NUJ1	"Site of former Nunnery Jn – Nunnery
Main Line Jn"	159	33	158	77	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1027	3	LN738	MWN	"reat Coates No. 1 – Network Rail
Boundary (ABP)"	108	34	108	44	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	4	LN740	MWN	"arsh West Jn – Network Rail
Boundary (ABP)"	107	69	108	44	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	5	LN740	PYE2	"Network Rail Boundary (ABP) – Site of
Former Queens Road Jn"	4	33	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	6	LN740	PYE1	"Site of  former Queens Road Jn –
Immingham East Jn"	106	50	106	31	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	7	LN740	BRI2	"Immingham East Jn – Humber Road
Jn"	106	31	104	05	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	8	LN741	HAU	Habrough – Ulceby South Jn	0	32	1	45	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1027	9	LN742	KIL2	"Killingholme – Immingham West
Change of Mileage"	2	70	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	10	LN742	KIL1	"Immingham West Change of Mileage –
Humber Rd Jn"	105	10	104	05	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	11	LN742	BRI2	Humber Rd Jn – Ulceby North Jn	104	05	100	44	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	12	LN742	BRI1	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	N	N	N	N	N	N	N	N	"H
R1"	N	"R1Prohibited between Ulceby South Jn
and Brocklesby West Jn"
London-North-Eastern	1027	13	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1027	14	LN746	TYB1	"Cottam Power Station – Clarborough
Jn"	71	79	68	32	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	15	LN748	WHR	"etford Western Jn – Thrumpton West
Jn"	64	29	63	28	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	16	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	17	LN752	DOW	rawby Jn – Marshgate Jn	33	34	0	03	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1027	18	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	19	LN756	NOP1	"Scunthorpe Trent Jn – Site of former
Dawes Lane Jn"	0	00	0	28	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	20	LN756	NOP2	"Site of former Dawes Lane Jn – NR
Boundary (Roxby)"	0	25	3	60	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	21	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	22	LN758	BKS	St Catherines Jn – Low Ellers Curve Jn	15	17	15	55	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1027	23	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	N	N	N	N	N	N	N	N	N	N	
