Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
London-North-Eastern	1060	1	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	R1	R1	Y	N	N	N	Y	R130mph maximum speed
London-North-Eastern	1060	2	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	R1	R1	Y	N	N	N	Y	R130mph maximum speed
London-North-Eastern	1060	3	LN627	LEN3	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	Y	Y	Y	N	N	N	R1	R120mph Heworth down platform
London-North-Eastern	1060	4	LN627	LEN3	Park Lane Jn – High Level Bridge Jn	100	65	101	33	Y	Y	Y	N	N	N	Y	
London-North-Eastern	1060	5	LN627	LEN3	"High Level Bridge Jn – Newcastle East
Jn"	101	33	101	59	Y	Y	Y	N	N	N	Y	
London-North-Eastern	1060	6	LN628	NEK	South Hylton – Sunderland South Jn	3	20	0	00	R1	R1	N	N	N	N	N	"R1Permitted for the purposes of track
recording and maintenance only"
London-North-Eastern	1060	7	LN629	PDL	"Pelaw Metro Jn – Network Rail Boundary
(Metro Operating)"	97	64	98	01	N	N	N	N	N	N	N	
London-North-Eastern	1060	8	LN630	PUL	"Pelaw Metro Jn – Network Rail Boundary
(Metro Operating)"	97	64	97	77	N	N	N	N	N	N	N	
London-North-Eastern	1060	9	LN631	DSN1	"Darlington South Jn – Eaglescliffe South
Jn"	0	29	8	58	Y	Y	Y	N	N	N	Y	
London-North-Eastern	1060	10	LN632	DSN2	"Stockton Cut Jn – Redcar Change of
Mileage"	10	13	21	72	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	11	LN632	DSN3	Redcar Change of Mileage – Saltburn	22	16	27	57	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	12	LN634	MBW1	Guisborough Jn – Battersby Jn	0	00	10	54	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	13	LN634	MBW2	"Battersby Jn (End of Line) – Grosmont
Jn"	11	61	29	66	R1	R1	R1	N	N	N	N	"R1Special authority required to use
the Run-Round Loop at Battersby"
London-North-Eastern	1060	14	LN634	MBW3	Grosmont Jn – Whitby	24	44	30	61	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	15	LN636	No ELR	Beam Mill Jn – Network Rail Boundary	18	03	18	67	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	16	LN638	WCI	Shell Jn –  Network Rail Boundary	0	00	1	03	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	17	LN642	SSK1	"Saltburn West Jn –  Network Rail
Boundary (Cleveland Potash)"	27	05	34	29	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	18	LN644	BOH	"Hartburn Jn – Bowesfield SB (Hartburn
Curve)"	0	00	0	44	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	19	LN646	STF	"Norton-on-Tees South –  Ferryhill South
Jn"	0	00	10	72	Y	Y	Y	N	N	N	Y	
London-North-Eastern	1060	20	LN648	NWE	"Norton-on-Tees West –  Norton-on-Tees
East"	0	29	0	00	Y	Y	Y	N	N	N	N	
London-North-Eastern	1060	21	LN652	POC1	Billingham Jn – Phillips Siding Jn	0	00	3	25	N	N	N	N	N	N	N	
London-North-Eastern	1060	22	LN652	POC2	"Phillips Siding Jn – Seal Sands Branch
Jn"	3	25	5	01	N	N	N	N	N	N	N	
