Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	357	357 OD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1045	1	LN804	SMJ2	"Ferrybridge South Jn – Site of former
Burton Salmon Jn"	2	38	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	2	LN804	SMJ3	"Site of former Burton Salmon Jn –
Milford Jn"	16	69	15	07	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	3	LN804	MGW	ilford Jn – Gascoigne Wood SB	7	65	6	27	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	4	LN806	CHR	"Route Boundary (LN3201) (Tapton Jn)
– Masborough Jn"	146	64	162	24	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	5	LN807	MAS	Dore South Jn – Dore West Jn	153	73	154	16	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	6	LN808	DWS	Dore Station Jn – Dore West Jn	0	60	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	7	LN808	MAS	"Dore West Jn – Route Boundary
(NW9001) (Chinley North Jn)"	154	16	154	20	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	8	LN809	BTJ	"Shepcote Lane West Jn –  Tinsley
Yard East End"	161	24	160	52	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	9	LN810	SEL	"Shepcote Lane West Jn – Tinsley
South Jn"	161	24	161	63	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	10	LN812	BLJ	"Shepcote Lane East Jn – Broughton
Lane Jn"	161	20	161	67	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	11	LN816	BEW	Beighton Jn – Woodhouse Jn	48	06	46	56	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	12	LN818	HCD	Holmes Jn – Rotherham Central Jn	0	00	0	62	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	13	LN824	SKM	Moorthorpe Jn – South Kirkby Jn	0	57	0	05	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	14	LN826	PED5	South Yorkshire Jn – Mexborough Jn	22	57	15	64	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	15	LN826	SJM2	"Mexborough Jn – Site of former
Mexborough North Jn"	15	64	14	78	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	16	LN826	SJM1	"Site of former Mexborough North Jn –
Swinton Jn South"	167	15	166	56	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	17	LN828	WME	Mexborough Jn – Aldwarke Jn	10	17	7	26	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	18	LN830	WME	Aldwarke Jn – Woodburn Jn	7	25	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	19	LN832	SJB	Doncaster, Bridge Jn – St. James Jn	22	54	22	38	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1045	20	LN836	DOL1	"oncaster Marshgate Jn – Hare Park
Jn"	156	28	171	70	N	N	"E
R1
R2
R3"	N	N	N	N	N	N	N	N	"R15mph Down Leeds Bridge 1 River Don
156m 43ch (between Marshgate Jn
and the avoiding line overbridge)
R2Prohibited Up Leeds Bridge 1 River
Don 156m 43ch (between Marshgate
Jn and the avoiding line overbridge)
R3Prohibited between the avoiding
overbridge and Hare Park Jn"
