Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0416	1	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	2	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	3	EA1480	WHC1	"Whitlingham Jn – North Walsham
(End of Station Loop)"	1	69	16	30	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	4	EA1480	WHC1	"North Walsham (End of Station
Loop) – Change of Mileage (Site of
Former Roughton Road Jn)"	16	30	24	00	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	5	EA1480	WHC2	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of
Mileage (Site of Former Runton East
Jn)"	11	54	13	48	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	6	EA1480	WHC3	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	7	EA1490	CRS	"Cromer Jn – Network Rail Boundary
(North Norfolk Railway)"	46	27	42	69	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	8	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	9	EA1500	RBY	"Breydon Access No24 LC (EA1510)
– Yarmouth"	19	13	20	45	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	10	EA1510	RBY	"Reedham Jn – Breydon Access
No24 LC"	12	34	19	13	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	11	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	12	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	13	EA1540	SOB1	"Chippenham Jn – Site of Former
Snailwell Jn"	0	63	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	14	EA1540	SOB2	"Site of Former Snailwell Jn  – Ely
Dock Jn"	1	54	12	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	15	EA1550	EWC	"Ely North Jn – Ely West Jn (Ely
West Curve)"	71	63	72	63	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	16	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	17	EA1560	EMP	"Ely West Jn – Route Boundary
(LN135) (Peterborough)"	72	39	98	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	18	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0416	19	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
