Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge	Notes							
London-North-Eastern	1174	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
London-North-Eastern	1174	2	LN3258	Bestwood Park Jn – Calverton Colliery	Y	N	N	N	N	N	N	N	
London-North-Eastern	1174	3	LN3261	"Trent South Jn – Toton South Jn (High
Level Lines)"	Y *	Y	N	N	N	N	N	N	
London-North-Eastern	1174	4	LN3264	"Attenborough Jn – Meadow Lane Jn
(Attenborough Curve)"	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1174	5	LN3270	Codnor Park Jn – Ironville Jn GF	-	-	-	-	-	-	-	-	"Section now classified as a siding and
subsumed by LN3207"
London-North-Eastern	1174	6	LN3273	Codnor Park Jn – Shirebrook Jn	Y	N	N	N	N	N	N	N	
London-North-Eastern	1174	7	LN3340	Alrewas (Inclusive) – Wichnor Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1174	8	LN3501	"Derby London Road Jn – Tamworth
(Exclusive)"	Y *	Y	Y	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1PROHIBITED Derby London Road Jn to
Stenson Jn
R2PROHIBITED from New Wetmore Sidings
R3PROHIBITED from Central Rivers Depot"
London-North-Eastern	1174	9	LN3505	"North Stafford Jn – Stoke Jn
(Exclusive)"	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1174	10	LN3515	Melbourne Jn – Sinfin	Y	N	N	N	N	N	N	N	
