Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge								Notes
Scotland	1082	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
Scotland	1082	2	SC017	"Mossend East Jn – Mossend South Jn (East
Curve)"	Y	Y	Y	Y	N	Y	N	N	
Scotland	1082	3	SC019	"Mossend South Jn – Mossend West Jn (West
Curve)"	Y	Y	Y	Y	N	Y	N	N	
Scotland	1082	4	SC021	Coltness – Garriongill Jn	Y	N	N	N	N	N	N	N	
Scotland	1082	5	SC023	"Motherwell – Newton, Hamilton Jn (via
Hamilton)"	Y *	Y	Y	N	N	N	N	N	
Scotland	1082	6	SC024	Larkhall – Haughhead Jn	Y	N	N	N	N	N	N	N	
Scotland	1082	7	SC025	"Rutherglen Central Jn – Finnieston incl.
Bridgeton Yard (via Arrival Line) (Goods Line)"	Y *	R1	N	N	N	N	N	N	"R1W7 traffic prohibited from using
Bridgeton Yard Arrival Line"
Scotland	1082	8	SC027	"Rutherglen West Jn – Rutherglen North Jn
(West Curve)"	Y	N	N	N	N	N	N	N	
Scotland	1082	9	SC029	"Larkfield Jn – Shields Jn Incl. Shields Jn –
Terminus Jn (Up Through Terminus)"	Y	Y	Y	Y	N	N	N	N	
Scotland	1082	10	SC031	Gretna Jn – Dumfries	Y *	Y	Y	N	N	N	N	N	
Scotland	1082	11	SC031	Dumfries to Kilmarnock GB&K Jn	Y *	Y	Y	R1	N	N	N	N	"R1W9 prohibited EXCEPT to traffic
working from / to SC039
Kilmarnock to Barrasie Line
using Kilmarnock Platform 3
Line between 33m 47ch and
33m 78ch ONLY."
Scotland	1082	12	SC031	Kilmarnock GB&K Jn to Eglinton Street Jn	Y *	Y	N	N	N	N	N	N	
Scotland	1082	13	SC033	Dumfries to Maxwelltown (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1082	14	SC035	Bank Jn – Greenburn Jn (Goods Line)	Y	N	N	N	N	N	N	N	
Scotland	1082	15	SC035	"Greenburn Jn – Knockshinnoch (Goods Line)
(OOU)"	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1082	16	SC036	"Greenburn Jn – Greenburn Open Cast (Goods
Line)"	Y	N	N	N	N	N	N	N	
Scotland	1082	17	SC037	Kay Park Jn – Riccarton (Goods Line)	Y	N	N	N	N	N	N	N	
