Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0873	1	SO110	HHT	"Route Boundary Kent (Herne Hill
South Jn) – Tulse Hill Substation via
platforms 1 and 2"	4	63	5	15	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0873	2	SO110	VIR	Herne Hill South Jn – Beckenham Jn	4	06	8	43	Y	Y	"R1
R2
R3"	N	N	N	N	"R140mph Sydenham Hill Up and Down
platforms
R220mph Penge East Up platform
R320mph Kent House Up Loop platform"
Kent-Sussex-Wessex	0873	3	SO110	VIR	Beckenham Jn – Shortlands Jn	8	43	9	57	Y	Y	R1	N	N	N	N	R110mph Beckenham Jn Down platform
Kent-Sussex-Wessex	0873	4	SO110	VIR	Shortlands Jn – Bickley Jn	9	57	12	38	Y	Y	R1	N	N	N	N	"R120mph Bromley South Down and Up
Slow platforms."
Kent-Sussex-Wessex	0873	5	SO110	TLP1	"Bickley Jn – Petts Wood (Fast
Tonbridge Loop)"	12	38	13	29	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0873	6	SO110	TLP2	"Bickley Jn – Petts Wood (Slow
Tonbridge Loop)"	12	49	13	35	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0873	7	SO110	CSM3	"Hawkwood Jn (Up Chatham Loop) –
St Mary Cray Jn"	11	66	12	30	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	8	SO110	VIR	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	9	SO110	VIR	"St Mary Cray Down Jn – St Mary Cray
Up Jn"	12	79	13	17	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	10	SO110	VIR	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	11	SO110	VIR	Swanley Jn – Fawkham Jn	17	46	20	49	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	12	SO110	VIR	Fawkham Jn – CTRL	20	49	0	00	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0873	13	SO110	VIR	Fawkham Jn – Rochester Bridge Jn	20	49	33	01	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	14	SO110	VIR	Rochester Bridge Jn – Gillingham	33	01	35	75	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	15	SO110	VIR	Gillingham – Western Jn	35	75	43	70	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	16	SO110	VIR	Western Jn – Eastern Jn	43	70	44	18	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	17	SO110	VIR	Eastern Jn – Faversham Jn	44	18	52	13	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	18	SO110	VIR	Faversham Jn – Ramsgate Station	52	13	79	21	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	19	SO110	ACR	"Ramsgate Station – Ramsgate
Substation"	85	67	85	22	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	20	SO130	XTD	Charing Cross – Metropolitan Jn	0	00	1	31	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0873	21	SO130	CBM	"Cannon Street – Cannon Street
Substation"	0	00	0	20	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0873	22	SO130	CSW	"Cannon Street Sub Station –
Metropolitan Jn (via Metropolitan
Reversible line)"	1	53	1	33	Y	Y	Y	N	N	N	N	
