Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge							Notes
Scotland	1080	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12
Scotland	1080	2	SC001	Gretna Jn – Law Jn (via Beattock)	Y *	Y	Y	Y	N	Y	N	N
Scotland	1080	3	SC001	Law Jn – Larkfield Jn	Y *	Y	Y	Y	N	Y	N	N
Scotland	1080	4	SC001	Larkfield Jn – Eglinton Street	Y	Y	Y	N	N	N	N	N
Scotland	1080	5	SC001	Eglinton Street – Glasgow Central	Y *	Y	N	N	N	N	N	N
