Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Scotland	0998	1	SC001	WCM1	"Route Boundary (NW4001) (Gretna Jn) –
Lockerbie"	12	30	25	66	Y	Y	Y	N	Y	N	Y	
Scotland	0998	2	SC001	WCM1	Lockerbie – Law Jn	25	66	84	08	Y	Y	Y	N	Y	N	Y	
Scotland	0998	3	SC001	WCM2	"Law Jn – Junction with Coatbridge lines
(Lesmahagow Jn)"	84	08	89	51	Y	Y	Y	N	Y	N	Y	
Scotland	0998	4	SC001	WCM2	"Junction with Coatbridge lines (Lesmahagow
Jn) – Newton East Jn"	89	51	95	14	Y	Y	Y	N	Y	N	Y	
Scotland	0998	5	SC001	WCM2	"Newton East Jn – Newton Hamilton Jn
(SC0023) via South Connecting Line"	95	14	95	47	Y	Y	Y	N	N	N	Y	
Scotland	0998	6	SC001	WCM2	"Newton Kirkhill Jn (SC0023) – Newton West
Jn via North Connecting Line"	95	77	96	34	Y	Y	Y	N	N	N	Y	
Scotland	0998	7	SC001	WCM2	Newton East Jn – Newton West Jn	95	14	96	34	Y	Y	Y	N	Y	N	Y	
Scotland	0998	8	SC001	WCM2	Newton West Jn – Rutherglen East Jn	96	34	98	32	Y	Y	Y	N	Y	N	Y	
Scotland	0998	9	SC001	WCM2	Rutherglen East Jn – Larkfield Jn	98	32	100	65	Y	Y	Y	N	Y	N	Y	
Scotland	0998	10	SC001	WCM2	Larkfield Jn – Eglinton St Jn	100	65	101	39	Y	Y	Y	N	Y	N	Y	
Scotland	0998	11	SC001	WCM2	Eglinton St Jn – Bridge St Jn	101	39	101	53	Y	Y	Y	N	Y	N	Y	
Scotland	0998	12	SC001	WCM2	Bridge St Jn – Glasgow Central	101	53	102	27	Y	Y	Y	N	Y	N	Y	
