Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge	Notes							
London-North-Eastern	1160	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
London-North-Eastern	1160	2	LN185	"Barkston East Jn., Former site of –
Boston, Sleaford Line Jn., Former site
of"	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	3	LN185	"Boston, Sleaford Line Jn., Former site
of – Skegness"	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1160	4	LN190	Allington East Jn – Allington North Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	5	LN195	"Grantham, Nottingham Branch Jn –
Bottesford West Jn"	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	6	LN200	Wrawby Jn – Pelham Street Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	7	LN206	Staythorpe Crossing – Boultham Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	8	LN206	Boultham Jn – West Holmes Jn	Y	Y	Y	Y	N	Y	N	Y	
London-North-Eastern	1160	9	LN210	Newark Crossing Curve	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1160	10	LN215	Boultham Jn – Pyewipe Jn	Y	Y	Y	Y	N	Y	N	Y	
London-North-Eastern	1160	11	LN220	Bessacarr Jn – Black Carr Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1160	12	LN235	Rossington Colliery Branch	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1160	13	LN600	Shaftholme Jn – Colton Jn	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1160	14	LN600	Colton Jn – York	Y *	Y	Y	Y	R1	R1	R1	R1	R1PROHIBITED Holgate Jn to York
London-North-Eastern	1160	15	LN600	"York – Newcastle via East Coast Main
Line"	Y *	Y	Y	Y	"R1
R2
R3
R4
R5
R6
R7
R8
R9"	"R1
R2
R3
R4
R5
R6
R7
R8
R9"	"R1
R2
R3
R4
R5
R6
R7
R8
R9"	"R1
R2
R3
R4
R5
R6
R7
R8
R9"	"R1PROHIBITED York to Skelton Jn
R2PROHIBITED Darlington platform 1
(permitted at the north end to access
Up/Down Station Loop)
R3PROHIBITED Darlington bay platform 2
R4PROHIBITED Darlington bay platform 3
R5PROHIBITED Darlington platform 4
R6PROHIBITED Darlington Down Bypass
R7PROHIBITED over King Edwards Bridge
on the Up Main
R8PROHIBITED over King Edwards Bridge
on the Down Main
R9PROHIBITED Newcastle platforms 2, 3,
4, 5/6, 7/8, 9, 10, 11 and 12"
London-North-Eastern	1160	16	LN600	Newcastle – Reston GSP	Y *	Y	Y	Y	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1PROHIBITED between Newcastle East
Jn and Argyle St Jn on the Up
R2PROHIBITED between Newcastle East
Jn and Argyle St Jn on the Down"
London-North-Eastern	1160	17	LN600	"Birtley Junction – Low Fell Junction via
Tyne Yard"	Y	Y	Y	Y	Y	Y	Y	Y	
