Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1182	1	LN642	SSK1	"Saltburn West Jn – Network Rail
Boundary (Cleveland Potash)"	27	05	34	29	8	Y	
London-North-Eastern	1182	2	LN644	BOH	"Hartburn Jn – Bowesfield SB
(Hartburn Curve)"	0	00	0	44	8	Y	
London-North-Eastern	1182	3	LN646	STF	"Norton-on-Tees South – Ferryhill
South Jn"	0	00	10	72	8	Y	
London-North-Eastern	1182	4	LN648	NWE	"Norton-on-Tees West – Norton-on-
Tees East"	0	29	0	00	8	Y	
London-North-Eastern	1182	5	LN652	POC1	Billingham Jn – Phillips Siding Jn	0	00	3	25	8	Y	
London-North-Eastern	1182	6	LN652	POC2	"Phillips Siding Jn – Seal Sands
Branch Jn"	3	25	5	01	8	Y	
London-North-Eastern	1182	7	LN652	SES	"Seal Sands Branch Jn – End of NR
maintenance"	0	00	2	44	8	Y	
London-North-Eastern	1182	8	LN656	SOT	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	8	Y	
London-North-Eastern	1182	9	LN662	HNB	Ryhope Grange – Hendon	0	00	1	53	8	Y	
London-North-Eastern	1182	10	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	8	Y	
London-North-Eastern	1182	11	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	8	Y	
London-North-Eastern	1182	12	LN666	GLT	Boldon North Jn – Tyne Dock	0	32	1	26	8	Y	
London-North-Eastern	1182	13	LN670	JAW1	"Pelaw Jn – Network Rail Boundary
(Shell Mex Depot Jarrow)"	0	09	3	36	8	Y	
London-North-Eastern	1182	14	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	8	R1	"R1Prohibited between Wardley and Pelaw Jn on the Down Leamside
line"
London-North-Eastern	1182	15	LN674	HLK	"High Level Bridge Jn – Greensfield Jn
(West Curve)"	0	00	0	21	8	Y	
London-North-Eastern	1182	16	LN676	PLG1	"Park Lane Jn – Site of Former High
Street Jn"	100	65	101	15	8	Y	
London-North-Eastern	1182	17	LN676	PLG2	"Site of Former High Street Jn –
Greensfield  Jn"	0	00	0	21	8	Y	
London-North-Eastern	1182	18	LN676	HLK	"Greensfield  Jn – King Edward Bridge
South Jn"	0	16	0	48	8	Y	
London-North-Eastern	1182	19	LN678	DAE1	"Darlington North Jn – Site of Former
Parkgate Jn"	44	36	44	64	8	Y	
