Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0864	1	NW6001	MVE1	Windsor Bridge North Jn – Bolton West Jn	1	66	10	55	N	"H
R1"	N	N	1Prohibited Bolton platforms 1 and 2
London-North-Western-North	0864	2	NW6001	MVE2	Bolton West Jn – Lostock Jn	10	55	13	39	N	H	N	N	
London-North-Western-North	0864	3	NW6001	MVE2	Lostock Jn – Euxton Jn	13	39	25	31	N	H	N	N	
London-North-Western-North	0864	4	NW6003	MAJ	"Castlefield Jn - Trafford Park Sidings (Limit of
Electrification)"	33	57	31	35	N	H	N	N	
London-North-Western-North	0864	5	NW6003	MAJ	"Trafford Park Sidings (Limit of Electrification) -
Hunts Cross"	31	35	7	07	N	H	N	N	
London-North-Western-North	0864	6	NW6003	MAJ	Hunts Cross - Hunts Cross West Jn	7	07	6	11	N	"H
R1"	R2	R2	"1Prohibited Hunts Cross Up & Down Electric
Line
2Permitted via Up & Down Electric"
London-North-Western-North	0864	7	NW6003	AHX	Hunts Cross West Jn – Allerton Jn	0	37	0	00	N	H	N	N	
London-North-Western-North	0864	8	NW6004	CD	"Water Street Jn – Irwell Street Jn (Change of
Mileage and ELR)"	190	05	190	34	Y	Y	N	N	
London-North-Western-North	0864	9	NW6004	DSE	"Irwell Street Jn (Change of Mileage and ELR) –
Deal Street Jn (Ordsall Curve lines)"	30	64	31	18	Y	Y	N	N	
London-North-Western-North	0864	10	NW6005	MVM	Manchester Victoria East Jn – Manchester Victoria	0	09	0	00	N	H	N	N	
London-North-Western-North	0864	11	NW6005	MVE1	"Manchester Victoria – Deal Street Jn (Chat Moss
Lines)"	0	00	0	32	N	H	N	N	
London-North-Western-North	0864	12	NW6005	MVE1	Deal Street Jn – Windsor Bridge South Jn	0	32	1	55	N	H	N	N	
London-North-Western-North	0864	13	NW6007	DSE	Deal Street Jn – Ordsall Lane Jn	31	18	30	38	N	H	N	N	
London-North-Western-North	0864	14	NW6009	WBS1	Windsor Bridge North Jn – Crow Nest Jn	1	66	14	64	N	N	N	N	
London-North-Western-North	0864	15	NW6009	WBS2	Crow Nest Jn – Wigan Station Jn	14	64	17	44	N	H	N	N	
London-North-Western-North	0864	16	NW6009	WBS2	Wigan Station Jn – Wigan Wallgate Jn	17	44	18	04	N	N	N	N	
London-North-Western-North	0864	17	NW6009	WBS3	Wigan Wallgate Jn – Southport	18	04	35	27	N	N	N	N	
London-North-Western-North	0864	18	NW6011	BBB	Bolton East Jn – Blackburn Bolton Jn	10	31	24	08	N	H	N	N	
London-North-Western-North	0864	19	NW6013	LCN	Lostock Jn – Crow Nest Jn	13	39	17	18	N	H	N	N	
London-North-Western-North	0864	20	NW6015	WKL1	"Wigan Wallgate Jn – Change of Mileage
(Pemberton)"	18	04	19	48	N	N	N	N	
London-North-Western-North	0864	21	NW6015	WKL2	Change of Mileage (Pemberton) – Kirkby	19	09	29	40	N	N	N	N	
London-North-Western-North	0864	22	NW7001	MVM	"Manchester Victoria East Jn (Man Vic West Jn –
East Jn on NW6005) – Miles Platting Jn"	0	09	1	30	N	H	N	N	
London-North-Western-North	0864	23	NW7001	MPR1	Miles Platting Jn – Brewery Jn	1	30	1	52	N	N	N	N	
London-North-Western-North	0864	24	NW7001	MPR1	Brewery Jn –Thorpes Bridge Jn	1	52	2	17	N	N	N	N	
London-North-Western-North	0864	25	NW7001	MVN2	Thorpes Bridge Jn – Castleton South Jn	2	17	8	21	N	N	N	N	
London-North-Western-North	0864	26	NW7001	MVN2	Castleton South Jn – Castleton East Jn	8	21	8	52	N	N	N	N	
London-North-Western-North	0864	27	NW7001	MVN2	Castleton East Jn – Hall Royd Jn	8	52	19	61	N	N	N	N	
