Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	325	332	360	387	Notes
Western-and-Wales	0714	1	GW105	MLN1	Thingley Jn – North Somerset Jn	96	10	117	46	H	N	N	N	
Western-and-Wales	0714	2	GW105	MLN1	"North Somerset Jn – Feeder Bridge
Jn"	117	46	117	50	H	N	N	N	
Western-and-Wales	0714	3	GW105	MLN1	Feeder Bridge Jn – Bristol East Jn	117	50	118	02	H	N	N	N	
Western-and-Wales	0714	4	GW105	MLN1	Bristol East Jn – Bristol West Jn	118	02	118	58	H	N	N	N	
Western-and-Wales	0714	5	GW105	MLN1	Bristol West Jn – Parson Street Jn	118	58	120	28	H	N	N	N	
Western-and-Wales	0714	6	GW105	MLN1	Parson Street Jn – Worle Jn	120	28	135	11	H	N	N	N	
Western-and-Wales	0714	7	GW105	MLN1	Worle Jn – Uphill Jn (direct)	135	11	138	04	H	N	N	N	
Western-and-Wales	0714	8	GW105	MLN1	Uphill Jn – Fordgate	138	04	154	12	H	N	N	N	
Western-and-Wales	0714	9	GW107	WSM	"Worle Jn – Uphill Jn via
Weston-Super-Mare"	135	11	139	05	H	N	N	N	
Western-and-Wales	0714	10	GW108	MLN1	Fordgate – Cogload Jn (Up)	154	12	158	23	H	N	N	N	
Western-and-Wales	0714	11	GW108	MLN1	"Cogload Jn (Up) – Norton Fitzwarren
Jn (Connection - West Somerset
Railway)"	158	23	164	60	H	N	N	N	
Western-and-Wales	0714	12	GW108	MLN1	"Norton Fitzwarren Jn (Connection -
West Somerset Railway) – Cowley
Bridge Jn"	164	40	192	52	H	N	N	N	
Western-and-Wales	0714	13	GW108	MLN1	"Cowley Bridge Jn – Exeter St Davids
Jn"	192	52	194	00	H	N	N	N	
Western-and-Wales	0714	14	GW108	MLN1	"Exeter St Davids Jn – Newton Abbot
East Jn"	194	00	213	75	H	N	N	N	
Western-and-Wales	0714	15	GW108	MLN1	"Newton Abbot East Jn – Newton
Abbot West Jn"	213	75	214	43	H	N	N	N	
Western-and-Wales	0714	16	GW108	MLN1	"Newton Abbot West Jn – Tavistock Jn
Yard"	214	43	242	55	H	N	N	N	
Western-and-Wales	0714	17	GW108	MLN1	Tavistock Jn Yard – Laira Jn	242	55	243	67	H	N	N	N	
Western-and-Wales	0714	18	GW108	MLN1	Laira Jn – Lipson Jn	243	67	244	35	H	N	N	N	
Western-and-Wales	0714	19	GW108	MLN1	"Lipson Jn – Change of ELR (Site of
Former Devonport Jn / Cornwall
Loop)"	244	35	246	15	H	N	N	N	
Western-and-Wales	0714	20	GW108	MLN2	"Change of ELR (Site of Former
Devonport Jn / Cornwall Loop) – St
Budeaux Jn"	247	28	250	00	H	N	N	N	
