Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	CH	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0866	1	SO330	NCS	"Courthill Loop North Jn – Courthill
Loop South Jn"	6	21	6	43	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0866	2	SO330	LCH	Courthill Loop North Jn – Ladywell Jn	6	21	6	41	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0866	3	SO330	LCH	Ladywell Jn – New Beckenham Jn	6	41	9	51	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0866	4	SO330	NBB	New Beckenham Jn – Beckenham Jn	9	51	10	04	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0866	5	SO330	LCH	New Beckenham Jn – Hayes	9	51	14	32	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0866	6	SO350	BNG	Grove Park (SO130) – Bromley North	8	87	10	47	N	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0866	7	SO500	VTB1	"Victoria platforms 9-19 – Battersea
Pier Jn"	0	00	0	71	N	Y	Y	Y	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	8	SO500	VTB1	Battersea Pier Jn – Battersea Park Jn	0	71	1	13	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	9	SO500	VTB1	Battersea Park Jn – Pouparts Jn	1	13	2	03	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	10	SO500	VTB1	Pouparts Jn – Falcon Jn	2	03	2	66	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	11	SO500	WLL	"Falcon Jn – Latchmere No1 Jn via
Clapham Jn platforms 16 and 17"	0	00	0	63	N	N	N	N	Y	Y	N	N	N	Y	"E
R1
R2"	"R115mph Clapham platform 16
Down West London line
R2OPPOS between VC2890 points
and VC290 and VC292 points
(Falcon Jn) at Clapham Jn"
Kent-Sussex-Wessex	0866	12	SO500	VTB1	Falcon Jn – Balham Jn	2	66	4	69	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	13	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	14	SO500	SNS	"Streatham North Jn – Streatham
South Jn via Reversible Fast Spur"	6	16	6	35	N	N	N	N	Y	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0866	15	SO500	SLJ	"Streatham North Jn – Streatham
South Jn via Slow Spurs"	6	14	6	38	N	N	N	N	Y	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0866	16	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	17	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	N	N	N	N	Y	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0866	18	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	19	SO500	VTB2	"Windmill Bridge Jn – South Croydon
Jn"	9	69	11	29	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	20	SO500	VTB2	South Croydon Jn – Stoats Nest Jn	11	29	14	20	N	Y	N	N	R1	R1	N	N	N	R1	Y	R160mph Purley platform 3
Kent-Sussex-Wessex	0866	21	SO500	RED1/2	Stoats Nest Jn – Redhill	14	20	22	40	N	Y	N	N	Y	Y	N	N	N	Y	R1	"R1Prohibited Redhill Down Post
Office sidings"
Kent-Sussex-Wessex	0866	22	SO500	RED1/2	"Redhill – Change of Mileage (Redhill /
Slow lines) Via Redhill"	22	40	23	00	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	23	SO500	VTB2	"Stoats Nest Jn – Change of Mileage
(Quarry / Fast lines)"	14	20	23	21	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0866	24	SO500	VTB3	"Change of Mileage (Quarry / Fast
lines) – Three Bridges"	21	15	29	21	N	Y	N	N	Y	Y	N	N	N	Y	"R1
R2"	"R1Prohibited Salfords Up sidings
R2Prohibited Tinsley Green Up
sidings"
