Route	page	seq	Line of route	Line of Route/Sector Description	Gauge							Notes
Western-and-Wales	0785	1			W6a	W7	W8	W9	W9Plus	W10	W10A	W12
Western-and-Wales	0785	2	GW103	Paddington – Royal Oak Sidings	Y *	N	N	N	N	N	N	N
