Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	314	318	320	322	325	334	350	380	390	Notes
Scotland	0995	1	SC171	EGM2	"Haymarket Central Jn – Haymarket
West Jn (South Lines)"	45	35	44	73	Y	Y	Y	Y	H	Y	N	Y	N	
Scotland	0995	2	SC171	ECN2	"Haymarket Central Jn – Haymarket
West Jn (North Lines)"	1	66	2	41	Y	Y	Y	Y	H	Y	N	Y	N	
Scotland	0995	3	SC171	ECN2	"Haymarket West Jn – Dundee Central
Jn"	2	41	58	69	N	N	N	N	"H
R1"	N	N	N	N	R130mph Burntisland Up platform
Scotland	0995	4	SC171	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	N	H	N	N	N	N	
Scotland	0995	5	SC173	CWH1	"Inverkeithing Central Jn – Change of
ELR (Cowdenbeath)"	13	21	22	76	N	N	N	N	H	N	N	N	N	
Scotland	0995	6	SC173	CWH2	"Change of ELR (Cowdenbeath) –
Change of ELR (Lochgelly)"	0	00	0	70	N	N	N	N	H	N	N	N	N	
Scotland	0995	7	SC173	CWH3	"Change of ELR (Lochgelly) – Thornton
West Jn"	27	00	34	62	N	N	N	N	H	N	N	N	N	
Scotland	0995	8	SC173	TNW	Thornton West Jn – Thornton North Jn	0	70	0	00	N	N	N	N	H	N	N	N	N	
Scotland	0995	9	SC175	RHD2	Rosyth Dockyard – Change of ELR	1	21	1	00	N	N	N	N	N	N	N	N	N	
Scotland	0995	10	SC175	RHD1	"Change of ELR – Inverkeithing South
Jn (Goods Line)"	1	00	0	02	N	N	N	N	N	N	N	N	N	
Scotland	0995	11	SC176	IGE	"Inverkeithing North Jn – Inverkeithing
East Jn (Inverkeithing Curve)"	0	33	0	00	N	N	N	N	N	N	N	N	N	
Scotland	0995	12	SC177	MTL1	Thornton North Jn – Change of ELR	0	11	4	65	N	N	N	N	N	N	N	N	N	
Scotland	0995	13	SC177	MTL2	"Change of ELR – Methill Power Station
(Goods Line)"	7	34	6	48	N	N	N	N	N	N	N	N	N	
Scotland	0995	14	SC178	CWH3	Thornton South Jn – Thornton West Jn	35	38	34	62	N	N	N	N	H	N	N	N	N	
Scotland	0995	15	SC181	CDC1	Ladybank Jn – Change of ELR	0	03	14	10	N	N	N	N	H	N	N	N	N	
Scotland	0995	16	SC181	CDC2	Change of ELR – Hilton Jn	44	18	45	66	N	N	N	N	H	N	N	N	N	
Scotland	0995	17	SC183	SAA	Stirling Middle Jn – Change of ELR	0	00	8	14	N	N	N	N	N	N	N	N	N	
Scotland	0995	18	SC183	KNE1	Change of ELR – Longannet	0	00	5	62	N	N	N	N	N	N	N	N	N	
Scotland	0995	19	SC183	KNE1	Longannet – Change of ELR	5	62	14	14	N	N	N	N	N	N	N	N	N	
Scotland	0995	20	SC183	KNE2	Change of ELR – Charlestown Jn	14	14	15	39	N	N	N	N	N	N	N	N	N	
Scotland	0995	21	SC189	CRE	Westfield – Change of Mileage	28	77	33	04	N	N	N	N	N	N	N	N	N	
Scotland	0995	22	SC189	CRE	"Change of Mileage – Redford Jn
(Goods Line)"	33	28	33	45	N	N	N	N	N	N	N	N	N	
