Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	360	365	373	377	378	379	380	387	499	700	Notes
Anglia	0389	1	EA1010	LTN1	"Liverpool Street platforms 1-10 –
Liverpool St (L) IECC"	0	00	0	22	Y	N	N	N	N	Y	N	R1	N	N	R1Prohibited Liverpool Street platforms 1 & 2
Anglia	0389	2	EA1010	LVS	"Liverpool Street platforms 11-18 –
Liverpool St (L) IECC"	0	00	0	22	Y	N	N	N	N	Y	N	Y	N	N	
Anglia	0389	3	EA1010	LTN1	"Liverpool St (L) IECC – Bethnal Green
East Jn"	0	22	1	10	Y	N	N	N	N	Y	N	Y	N	N	
Anglia	0389	4	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	Y	N	N	N	N	Y	N	Y	N	N	
Anglia	0389	5	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	Y	N	N	N	N	Y	N	Y	N	N	
Anglia	0389	6	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	Y	N	N	N	N	Y	N	R1	N	N	"R1Prohibited LTN1/52 Northern Outfall Sewer
Underbridge 03m 31ch Up and Down Temple Mills
line"
Anglia	0389	7	EA1010	LTN1	"Carpenters Road South Jn – Stratford
Central Jn West"	3	54	3	70	Y	N	N	N	N	Y	N	Y	N	N	
Anglia	0389	8	EA1010	LTN1	"Stratford Central Jn West – Stratford
Central Jn East"	3	70	3	75	Y	N	N	N	N	Y	EH	Y	N	N	
Anglia	0389	9	EA1010	LTN1	"Stratford Central Jn East – Forest
Gate Jn"	3	75	5	63	Y	N	N	N	"E
R1"	Y	"EH
R1"	R2	N	N	"R1Prohibited Stratford platform 5
R2Prohibited in crush laden condition with deflated
suspension Maryland platform 1 and Forest Gate
platform 1"
Anglia	0389	10	EA1010	LTN1	"Forest Gate Jn – Ilford Depot London
End"	5	63	7	63	Y	N	N	N	E	Y	EH	"E
R1"	N	N	"R1Prohibited with deflated suspension Manor Park
platform 1 and Ilford platforms 2 & 3"
Anglia	0389	11	EA1010	LTN1	"Ilford Depot London End – Seven
Kings"	7	63	8	45	Y0	N	N	N	N	Y	N	N	N	N	
Anglia	0389	12	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	13	EA1011	LTN1	Romford Jn – Shenfield Jn	12	39	20	22	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	14	EA1011	LTN1	Shenfield Jn – Witham Jn	20	22	38	55	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	15	EA1011	LTN1	Witham Jn – Marks Tey Jn	38	55	46	49	R1	N	N	N	N	R1	N	N	N	N	"R1If stopped at signal L789 on the down main line
approaching Church Street AHBC level crossing,
the maximum speed of the train shall be 50mph
until the front of the train is clear of the crossing"
Anglia	0389	16	EA1011	LTN1	Marks Tey Jn – Colchester Jn	46	49	51	65	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	17	EA1011	LTN1	Colchester Jn – Manningtree South Jn	51	65	59	46	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	18	EA1011	LTN1	"Manningtree South Jn – Manningtree
North Jn"	59	46	59	69	Y	N	N	N	N	Y	N	N	N	N	
Anglia	0389	19	EA1011	LTN1	Manningtree North Jn – Ipswich	59	69	68	59	Y	N	N	N	N	Y	N	N	N	N	
