Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge								Notes
London-North-Eastern	1156	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
London-North-Eastern	1156	2	LN101	Kings Cross – Copenhagen Jn	Y	N	N	N	N	N	N	N	
London-North-Eastern	1156	3	LN101	"Copenhagen Jn – Holloway South /
North Jns"	Y *	R1	R1	R1	R1	R1	R1	R1	R1PROHIBITED on the Fast Lines
