Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge	Notes								
Anglia	0449	1			GB1/2	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	
Anglia	0449	2	EA1010	Liverpool Street – Mile End	N	Y *	N	N	N	N	N	N	N	
Anglia	0449	3	EA1010	Mile End – Stratford Central Jn East	N	Y *	Y	Y	R1	N	N	N	N	"R1W9 between Bow Depot Jn and
Carpenters Road South Jn only"
Anglia	0449	4	EA1010	"Stratford Central Jn East – Forest Gate
Jn"	N	Y *	Y	Y	Y	N	R1	N	N	"R1W10 Prohibited on Up and Down
Electric between Maryland East
Crossovers and Stratford Central Jn
West."
Anglia	0449	5	EA1010	Forest Gate Jn – Seven Kings	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0449	6	EA1011	Seven Kings – Ipswich	N	Y *	Y	Y	Y	N	Y	N	N	
