Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT MOD)	MK4	Notes
London-North-Western-North	0877	1	NW5003	STY	"Wilmslow South Jn – Heald Green
South Jn"	0	00	2	50	Y	Y	Y	N	Y	N	Y	
London-North-Western-North	0877	2	NW5003	STY	"Heald Green South Jn – Heald Green
North Jn"	2	50	3	13	Y	Y	Y	N	Y	N	Y	
London-North-Western-North	0877	3	NW5003	STY	"Heald Green North Jn – Slade Lane
Jn"	3	13	9	44	Y	Y	Y	N	Y	N	Y	
London-North-Western-North	0877	4	NW5005	SMA	"Heald Green South Jn – Heald Green
West Jn"	1	48	1	10	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0877	5	NW5007	MIA	"Manchester Airport – Heald Green
North Jn"	0	00	1	51	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0877	6	NW5008	LEC6	"Little Bridgeford Jn – Searchlight Lane
Jn (Change of ELR and mileage) (Up
line only)"	137	42	138	55	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0877	7	NW5008	NBS	"Searchlight Lane Jn (Change of ELR
and mileage) – Stone Jn"	4	06	0	00	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0877	8	NW5008	NBS1	"Norton Bridge Jn – Yamfield Jn
(Norton Bridge East Chord)"	4	14	2	50	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0877	9	NW5009	CMD2	Colwich Jn – Stone Jn	38	61	27	00	Y	Y	Y	N	Y	N	N	
London-North-Western-North	0877	10	NW5009	CMD2	Stone Jn – Stoke Jn	20	00	20	36	Y	Y	Y	N	Y	N	N	
London-North-Western-North	0877	11	NW5009	CMD2	Stoke Jn – Glebe Street Jn	20	36	20	10	Y	Y	Y	N	Y	N	N	
London-North-Western-North	0877	12	NW5009	CMD2	Glebe Street Jn – Change of ELR	20	10	15	65	Y	Y	Y	N	Y	N	N	
London-North-Western-North	0877	13	NW5009	CMD1	Change of ELR – Kidsgrove Jn	16	00	13	68	Y	Y	Y	N	Y	N	N	
London-North-Western-North	0877	14	NW5009	CMD1	"Kidsgrove Jn – Macclesfield Hibel
Road (Change of ELR )"	13	68	0	00	Y	Y	Y	N	Y	N	R1	"R1Prohibited between Kidsgrove Jn and
Macclesfield"
London-North-Western-North	0877	15	NW5009	MCH	"Macclesfield Hibel Road (Change of
ELR) – Cheadle Hulme North Jn"	9	37	0	00	Y	Y	Y	N	Y	N	Y	
London-North-Western-North	0877	16	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0877	17	NW5010	SCQ1	"Change of Mileage – Change of
Mileage (Site of Former Milton Jn)"	0	00	3	51	N	N	N	N	N	N	N	"Line leased to Moorland & City Railways
Ltd"
London-North-Western-North	0877	18	NW5010	SCQ2	"Change of Mileage (Site of Former
Milton Jn) – Change of Mileage (Site
of Former Leek Brook Jn)"	0	00	6	65	N	N	N	N	N	N	N	"Line leased to Moorland & City Railways
Ltd"
London-North-Western-North	0877	19	NW5010	SCQ3	"Change of Mileage (Site of Former
Leek Brook Jn) – Caldon Quarry"	0	00	8	01	N	N	N	N	N	N	N	"Line leased to Moorland & City Railways
Ltd"
London-North-Western-North	0877	20	NW5011	HNS	"Heaton Norris Jn – Guide Bridge
Station Jn"	0	00	4	73	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0877	21	NW5012	NSS	"Route Boundary (LN3505) (North
Stafford Jn) – Stoke Jn"	1	40	0	00	Y	Y	Y	N	N	N	N	
London-North-Western-North	0877	22	NW5013	DJO1	"Denton Jn – Change of Mileage (Site
of Former Crowthorne Jn)"	4	10	5	28	Y	Y	Y	N	N	N	Y	
