Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1032	1	LN860	MVN2	"Heaton Lodge East Jn – Thornhill LNW
Jn"	37	47	39	72	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	2	LN860	MDL1	Thornhill LNW Jn – Copley Hill East Jn	32	16	42	03	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	3	LN861	BBW	Bradley Jn – Bradley Wood Jn	0	00	1	17	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	4	LN862	PED2	"Barnsley Station Jn – Site of former
Barnsley Jn"	6	43	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	5	LN862	PED1	"Site of former Barnsley Jn – Site of
Former Huddersfield Jn"	29	13	28	37	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	6	LN862	PEH	"Site of former Huddersfield Jn –
Lockwood"	13	42	1	18	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	7	LN862	PEH	Lockwood – Springwood Jn	1	18	0	40	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	8	LN862	MVL3	Springwood Jn – Huddersfield	0	40	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	9	LN864	DRS1	"Dewsbury Railway Street – Change of
Mileage"	0	10	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1032	10	LN864	DRS1	"Change of Mileage – Dewsbury East
Jn"	0	27	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1032	11	LN868	SHB	"Wincobank Jn – Site of former Quarry
Jn"	161	52	173	48	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	12	LN868	PED2	"Site of former Quarry Jn – Barnsley
Station Jn"	7	50	6	43	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	13	LN868	BAH2	"Barnsley Station Jn – Site of former
Crigglestone Jn"	52	58	45	56	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	14	LN868	CHS	"Site of former Crigglestone Jn –
Horbury Jn"	1	53	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	15	LN870	CTL	"Wakefield Turners Lane – Calder
Bridge Jn"	0	50	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	16	LN872	TJC3	Altofts Jn – Hunslet South Jn	185	73	193	40	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	17	LN872	TJC3	Hunslet South Jn – Engine Shed Jn	193	40	195	20	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	18	LN872	ELN	Engine Shed Jn – Leeds West Jn	195	20	195	53	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	19	LN874	MEW2	Methley Jn – Whitwood Jn	1	12	0	01	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	20	LN875	CPM2	Castleford West Jn – Cutsyke Jn	0	00	0	61	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	21	LN875	CPM1	Cutsyke Jn – Pontefract West Jn	59	02	56	42	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	22	LN876	BOO	astleford East Jn – Ledston	6	17	4	43	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1032	23	LN878	SHG	Sherburn Jn – Gascoigne Wood Jn	13	20	14	30	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1032	24	LN880	YMS	"York (platforms 4 & 5) - Scarborough
(platforms 1 to 5)"	0	00	42	06	N	N	N	N	N	N	N	N	"H
R1"	N	R1Prohibited Scarborough platform 5
