Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	357	357 OD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1036	1	LN101	ECM1	ings Cross – Copenhagen Jn	0	00	0	64	N	N	Y	N	N	N	N	N	N	N	Y	
London-North-Eastern	1036	2	LN101	ECM1	"openhagen Jn – Holloway South /
orth Jns"	0	64	1	44	N	N	Y	E	E	N	N	E	EH	N	Y	
London-North-Eastern	1036	3	LN101	ECM1	"olloway South / North Jns –  Wood
reen North Jn"	1	44	5	07	"E
R1
R2
R3
R4
R5"	"E
R1
R2
R3
R4
R5"	Y	"E
R2"	"E
R2"	"E
R1
R2"	N	"E
R2
R6
R7"	EH	N	Y	"R1Prohibited between Holloway South/North
Jns and Finsbury Park
R2Prohibited between Hornsey and Wood
Green North Jn
R3Prohibited Down Slow and Down Fast
lines through Finsbury Park
R410mph Finsbury Park platform 6 and
Disused Up Slow platform
R510mph Harringay platform 2
R6Prohibited Hollwoay South / North Jn -
Finsbury Park South Jn
R7Prohibited ECM1/13 Finsbury Park
underbridge 02m 43ch"
London-North-Eastern	1036	4	LN101	ECM1	ood Green North Jn –  Langley Jn	5	07	25	73	N	N	Y	N	N	N	N	N	N	N	Y	
London-North-Eastern	1036	5	LN101	ECM1	angley Jn – St Neots	25	73	51	58	N	N	Y	N	N	N	N	N	N	N	Y	
London-North-Eastern	1036	6	LN101	ECM1	t Neots – Fletton Jn	51	58	75	02	N	N	Y	N	N	N	N	N	N	N	Y	
London-North-Eastern	1036	7	LN101	ECM1	letton Jn – Peterborough	75	02	76	29	N	N	Y	N	N	N	N	N	N	N	Y	
London-North-Eastern	1036	8	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	N	N	"E
R1"	N	N	N	N	N	N	N	R2	"R1Prohibited on Washer Road and in 12 car
formation on South Up Departure line at
Eastfield
R2Prohibited Werrington Jn - Newark North
Gate"
London-North-Eastern	1036	9	LN101	PMJ	"eterborough – Helpston Jn via
tamford lines"	22	19	16	71	N	N	E	N	N	N	N	N	N	N	N	
London-North-Eastern	1036	10	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	N	N	"E
R1
R2"	N	N	N	N	N	N	N	N	"R1Prohibited via bridge 303a 138m38ch
(Worksop – Gainsborough line
underbridge) Down Fast
R225mph Grantham Station platform 4"
London-North-Eastern	1036	11	LN101	ECM1	etford – Loversall Carr Jn	138	49	150	00	N	N	E	N	N	N	N	N	N	N	N	
