Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0475	1	MD101	LEC1	ondon Euston – Camden Jn DC Lines	0	00	1	36	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0475	2	MD101	LEC1	"amden Jn DC Lines – Camden Jn
NLL)"	1	36	1	51	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0475	3	MD101	LEC1	"amden Jn – West London Jn
Willesden)"	1	51	5	23	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0475	4	MD101	LLG	"est London Jn (Willesden) – Sudbury
n (Willesden Relief Lines)"	0	12	2	03	Y	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0475	5	MD101	LEC1	"est London Jn (Willesden) –
arlesden Jn"	5	23	6	01	Y	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0475	6	MD101	LEC1	arlesden Jn – Watford South Jn	6	01	17	06	Y	Y	Y	Y	Y	Y	N	Y	Y	"EH
R1"	"R1Prohibited between Harlesden Jn and
Wembley Central"
London-North-Western-South	0475	7	MD101	LEC1	atford South Jn – Bletchley South Jn	17	06	46	41	Y	Y	Y	Y	Y	Y	N	Y	Y	EH	
London-North-Western-South	0475	8	MD101	LEC1	"letchley South Jn – Bletchley
Platforms 1 – 5) – Denbigh Hall South
n"	46	41	47	52	Y	Y	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0475	9	MD101	LEC1	"enbigh Hall South Jn – Hanslope
orth Jn"	47	52	56	66	R1	R1	Y	Y	Y	Y	Y	Y	Y	EH	"R1Prohibited between Wolverton and
Hanslope North Jn"
London-North-Western-South	0475	10	MD101	LEC1	anslope North Jn – Hillmorton Jn	56	66	81	28	N	N	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-South	0475	11	MD101	LEC1	illmorton Jn – Rugby Trent Valley Jn	81	28	83	18	N	N	Y	R1	Y	Y	Y	Y	Y	N	"R1Prohibited between Rugby and Rugby
Trent Valley Jn"
London-North-Western-South	0475	12	MD101	LEC2	"ugby Trent Valley Jn – Armitage Jn
NW1001 Sectional Appendix
oundary)"	83	18	119	20	N	N	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-South	0475	13	MD105	HNR	"anslope Jn (MD101) – Northampton
outh Jn"	56	66	65	55	N	N	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0475	14	MD105	HNR	"orthampton South Jn – Northampton
orth Jn"	65	55	66	12	N	N	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0475	15	MD105	HNR	"orthampton North Jn – Rugby South
n"	66	12	83	54	N	N	Y	Y	Y	Y	Y	Y	Y	"EH
R1"	"R1Prohibited between Mill Lane Jn and
Rugby South Jn"
