Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	357	357 MOD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1039	1	LN235	FWR1	ossington Colliery Jn – End of Line	152	12	151	69	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	2	LN235	FWR2	ossington Colliery – End of Line	153	31	151	69	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	3	LN600	ECM2	Shaftholme Jn – Temple Hirst Jn	160	16	169	16	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	4	LN600	ECM3	Temple Hirst Jn – Colton Jn	169	16	182	79	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	5	LN600	ECM4	olton Jn – Colton North Jn	182	79	183	65	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	6	LN600	ECM4	olton North Jn – York Station	183	65	188	40	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	7	LN600	ECM5	York Station – Birtley Jn	0	00	75	26	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	8	LN600	ECM5	"Birtley Jn – Low Fell Jn (including via
Tyne Yard)"	75	26	77	37	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	9	LN600	ECM5	"Low Fell Jn – King Edward Bridge
South Jn"	77	37	79	42	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	10	LN600	ECM5	"King Edward Bridge South Jn –
Newcastle West Jn"	79	42	80	05	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	11	LN600	ECM6	ewcastle West Jn – Newcastle	80	05	80	16	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	12	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	13	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	14	LN600	ECM7	"eaton South Jn – Route Boundary
(SC147) (Prestonpans Jn)"	1	65	69	67	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Eastern	1039	15	LN618	HOS	"Holgate Jn –  Skelton Jn via York Yard
South"	0	00	1	54	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Eastern	1039	16	LN620	KEB	"King Edward Bridge East Jn – King
Edward Bridge North Jn (East Curve)"	0	00	0	13	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	17	LN622	NEN1	Newcastle Forth Jn – Forth Banks	0	11	0	73	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	18	LN624	REB4	"Northallerton Castle Hills Jn – Network
Rail Boundary (Wensleydale Railway)"	0	04	0	18	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	19	LN626	LEN2	"Northallerton High Jn –  Northallerton
East Jn"	0	00	0	36	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	20	LN627	LLP1	"Longlands Jn (Down Line) –
Boroughbridge Road LC"	28	58	29	72	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	21	LN627	LLP3	"Longlands Jn (Up Line) –
Boroughbridge Road LC"	0	69	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	22	LN627	LLP2	"Boroughbridge Road LC –
Northallerton East Jn"	42	21	42	79	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	23	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	24	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1039	25	LN627	LEN3	"Ryhope Grange Jn – Sunderland
South Jn"	87	63	89	56	N	N	N	N	N	N	N	N	N	N	N	
