Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Scotland	1001	1	SC055	KHL	Newton Kirkhill Jn – Cathcart West Jn	95	77	100	77	Y	Y	Y	N	N	N	Y	
Scotland	1001	2	SC057	CNC	Cathcart East Jn – Cathcart North Jn	0	45	0	00	Y	Y	Y	N	N	N	N	
Scotland	1001	3	SC059	WCM2	Glasgow Central – Bridge St Jn	102	27	101	53	Y	Y	Y	N	N	N	Y	
Scotland	1001	4	SC059	AYR1	Bridge St Jn – Cook St	0	00	0	19	Y	Y	Y	N	N	N	N	
Scotland	1001	5	SC059	LYE	"Cook St – High St Line (Smithy Lye through
line)"	0	00	0	44	Y	Y	Y	N	N	N	N	
Scotland	1001	6	SC059	AYR1	Cook St – Shields Jn	0	19	1	00	Y	Y	Y	N	N	N	N	
Scotland	1001	7	SC059	AYR1	"Shields Jn – Change of ELR (Paisley Gilmour
Street)"	1	00	6	53	Y	Y	Y	N	N	N	N	
Scotland	1001	8	SC059	AYR2	"Change of ELR (Paisley Gilmour Street) –
Change of ELR (Brown Street crossover)"	6	73	7	00	Y	Y	Y	N	N	N	N	
Scotland	1001	9	SC059	AYR3	"Change of ELR (Brown Street crossover) –
Change of ELR (Dalry)"	7	00	23	00	Y	Y	Y	N	N	N	N	
Scotland	1001	10	SC059	AYR4	"Change of ELR (Dalry) – Change of ELR
(Barassie Jn)"	23	00	33	08	Y	Y	Y	N	N	N	N	
Scotland	1001	11	SC059	AYR5	"Change of ELR (Barassie Jn) – Change of
ELR (Between Troon and Prestwick
International Airport)"	0	00	2	15	Y	Y	Y	N	N	N	N	
Scotland	1001	12	SC059	AYR6	"Change of ELR (Between Troon and
Prestwick International Airport) – Falkland Jn"	35	05	38	73	Y	Y	Y	N	N	N	N	
Scotland	1001	13	SC059	AYR6	Falkland Jn – Ayr	38	73	40	49	Y	Y	Y	N	N	N	N	
Scotland	1001	14	SC059	STR1	Ayr – Dalrymple Jn	40	49	43	53	Y	Y	Y	N	N	N	N	
Scotland	1001	15	SC059	STR1	Dalrymple Jn – Change of ELR (Girvan)	43	53	61	60	Y	Y	Y	N	N	N	N	
Scotland	1001	16	SC059	STR2	"Change of ELR (Girvan) – Change of ELR
(Betweeen Challoch LC and Dunragit SB &
LC)"	0	00	30	67	Y	Y	Y	N	N	N	N	
Scotland	1001	17	SC059	STR3	"Change of ELR (Betweeen Challoch LC and
Dunragit SB & LC) – Change of ELR
(Stranraer Yard GF)"	46	54	53	05	Y	Y	Y	N	N	N	N	
Scotland	1001	18	SC059	STR4	"Change of ELR (Stranraer Yard GF) – End of
Line"	53	05	54	05	Y	Y	Y	N	N	N	N	
Scotland	1001	19	SC061	CNL	Shields Jn – Corkerhill	1	05	3	11	Y	Y	Y	N	N	N	N	
