Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT MOD)	MK4	Notes
London-North-Western-North	0881	1	NW7021	MVL1	"Miles Platting Jn – Philips Park West
Jn"	1	30	1	59	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	2	NW7021	MVL1	"Philips Park West Jn – Baguley Fold
Jn"	1	59	2	39	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	3	NW7021	MVL1	"Baguley Fold Jn – Ashton Moss North
Jn"	2	39	5	41	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	4	NW7021	MVL1	"Ashton Moss North Jn – Stalybridge
Jn"	5	41	7	46	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	5	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	6	NW7021	MVL3	"Stalybridge Tunnel Jn – Route
Boundary (LN860) (Springwood Jn)"	8	08	15	11	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	7	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	Y	Y	Y	N	N	N	N	
London-North-Western-North	0881	8	NW7025	PPA1	"Philips Park West Jn – Philips Park
South Jn"	1	59	2	07	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	9	NW7025	PPA1	"Philips Park South Jn – Change of
Mileage"	2	07	3	12	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	10	NW7025	PPA2	"Change of Mileage – Ashburys West
Jn"	0	57	0	00	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	11	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	12	NW7027	PPP2	"Change of Mileage – Philips Park
South Jn"	0	00	0	19	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0881	13	NW8001	HXS1	"Hunts Cross West Jn – Liverpool
Central"	6	11	0	02	N	N	N	N	N	N	N	
London-North-Western-North	0881	14	NW8001	HXS2	Liverpool Central – Paradise Jn	37	13	36	71	N	N	N	N	N	N	N	
London-North-Western-North	0881	15	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	N	N	N	N	N	N	N	
London-North-Western-North	0881	16	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	Y	Y	N	N	N	N	N	
London-North-Western-North	0881	17	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	Y	Y	N	N	N	N	N	
London-North-Western-North	0881	18	NW8003	SIL	"Paradise Jn – James Street (Stock
Interchange/Holding line)"	0	32	0	53	N	N	N	N	N	N	N	
London-North-Western-North	0881	19	NW8005	SJO1	Sandhills Jn – Walton Jn	34	75	33	16	Y	Y	N	N	N	N	N	
London-North-Western-North	0881	20	NW8005	SJO2	Walton Jn – Ormskirk	3	20	12	13	Y	Y	N	N	N	N	N	
London-North-Western-North	0881	21	NW8007	"HXS/
NMM"	"Bootle Jn – Change of ELR (Site of
Former North Mersey Jn)"	2	34	3	52	N	N	N	N	N	N	N	
