Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT MOD)	MK4	Notes
London-North-Western-North	0882	1	NW8007	NMB	"Change of ELR (Site of Former North
Mersey Jn) – Change of ELR (Site of
Former Sefton Jn)"	34	40	32	42	N	N	N	N	N	N	N	
London-North-Western-North	0882	2	NW8007	AFL	"Change of ELR (Site of Former Sefton
Jn) – Aintree Station Jn"	0	00	0	40	N	N	N	N	N	N	N	
London-North-Western-North	0882	3	NW8009	WJK	Walton Jn – Kirkby	33	16	29	41	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	4	NW8011	MIR1	"Mann Island Jn – Mann Island Jn via
Loop"	0	00	2	12	N	N	N	N	N	N	N	
London-North-Western-North	0882	5	NW8011	MIR2	Mann Island Jn – Hamilton Square Jn	0	69	1	72	N	N	N	N	N	N	N	
London-North-Western-North	0882	6	NW8011	CWK1	"Hamilton Square Jn – Change of ELR
(Birkenhead Park)"	1	72	3	00	N	N	N	N	N	N	N	
London-North-Western-North	0882	7	NW8011	CWK2	"Change of ELR (Birkenhead Park) –
Bidston East Jn"	3	00	4	40	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	8	NW8011	CWK3	Bidston East Jn – Bidston Dee Jn	4	40	4	78	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	9	NW8011	CWK3	Bidston Dee Jn – West Kirby	4	78	10	46	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	10	NW8013	MIR2	Canning Street Jn – Rock Ferry	1	60	3	42	N	N	N	N	N	N	N	
London-North-Western-North	0882	11	NW8013	CRR2	Rock Ferry – Hooton South Jn	13	43	7	68	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	12	NW8015	BEN	"Bidston East Jn – New Brighton (New
Brighton lines)"	4	40	7	18	Y	Y	N	N	N	N	N	
London-North-Western-North	0882	13	NW8017	"CCS1/
2"	"Network Rail Boundary (Canning
Street North) – Rock Ferry South Jn"	15	40	13	30	N	N	N	N	N	N	N	
London-North-Western-North	0882	14	NW9001	MAS	"Route Boundary (LN808) (Dore West
Jn) – Chinley North Jn"	154	20	174	01	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0882	15	NW9001	TTA1	Chinley North Jn – New Mills South Jn	168	39	172	27	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0882	16	NW9001	NMC1	"New Mills South Jn – Hazel Grove
High Level Jn"	172	27	177	40	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0882	17	NW9001	HGC	"Hazel Grove High Level Jn – Hazel
Grove East Jn"	2	62	2	35	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0882	18	NW9001	BEJ	"Hazel Grove East Jn (Limit of
electrification) – Edgeley Jn No.1"	2	35	0	00	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0882	19	NW9003	CYC	"Chinley East Jn – Chinley South Jn
(Chord Line)"	168	32	167	56	N	N	N	N	N	N	N	
London-North-Western-North	0882	20	NW9005	CNB1	Chinley North Jn – Chinley South Jn	168	39	167	56	N	N	N	N	N	N	N	
