Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
Scotland	1046	1	SC001	WCM1	"Route Boundary (NW4001) (Gretna Jn)
– Lockerbie"	12	30	25	66	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	2	SC001	WCM1	Lockerbie – Law Jn	25	66	84	08	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	3	SC001	WCM2	"Law Jn – Junction with Coatbridge lines
(Lesmahagow Jn)"	84	08	89	51	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	4	SC001	WCM2	"Junction with Coatbridge lines
(Lesmahagow Jn) – Newton East Jn"	89	51	95	14	"8
R1"	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC010 applies until
30/09/2014"
Scotland	1046	5	SC001	WCM2	"Newton East Jn – Newton Hamilton Jn
(SC0023) via South Connecting Line"	95	14	95	47	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	6	SC001	WCM2	"Newton Kirkhill Jn (SC0023) – Newton
West Jn via North Connecting Line"	95	77	96	34	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	7	SC001	WCM2	Newton East Jn – Newton West Jn	95	14	96	34	"8
R1"	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC010 applies until
30/09/2014"
Scotland	1046	8	SC001	WCM2	Newton West Jn – Rutherglen East Jn	96	34	98	32	"8
R1"	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC010 applies until
30/09/2014"
Scotland	1046	9	SC001	WCM2	Rutherglen East Jn – Larkfield Jn	98	32	100	65	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	10	SC001	WCM2	Larkfield Jn – Eglinton St Jn	100	65	101	39	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	11	SC001	WCM2	Eglinton St Jn – Bridge St Jn	101	39	101	53	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	12	SC001	WCM2	Bridge St Jn – Glasgow Central	101	53	102	27	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	13	SC003	ECA1	Carstairs South Jn – Carstairs East Jn	73	17	73	48	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1046	14	SC003	ECA2	Carstairs East Jn – Slateford Jn	74	10	99	01	"8
R1"	Y	Y	R2	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC007 applies until
30/09/2014
R260 mph between Haymarket East Jn and
bridge 138 (Slateford Road) (98m 72ch)"
