Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	165	166	168	170	171	172	175	180	220	221	Notes
London-North-Western-South	0464	1	MD101	LEC1	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	"E
R1
R2"	N	E	Y	N	"E
R3"	Y	N	Y	T	"R1Route prohibited to Class 165/1
R2Prohibited between Rugby and Rugby Trent
Valley Jn
R3Route prohibited to Class 172/2 and 172/3"
London-North-Western-South	0464	2	MD101	LEC2	"Rugby Trent Valley Jn – Armitage Jn
(NW1001 Sectional Appendix Boundary)"	83	18	119	20	N	N	N	Y	N	N	Y	N	Y	T	
London-North-Western-South	0464	3	MD105	HNR	"Hanslope Jn (MD101) – Northampton
South Jn"	56	66	65	55	"E
R1"	N	E	Y	N	"E
R2"	Y	N	Y	Y	"R1Route prohibited to Class 165/1
R2Route prohibited to Class 172/2 and 172/3"
London-North-Western-South	0464	4	MD105	HNR	"Northampton South Jn – Northampton
North Jn"	65	55	66	12	"E
R1"	N	E	Y	N	"E
R2"	Y	N	Y	Y	"R1Route prohibited to Class 165/1
R2Route prohibited to Class 172/2 and 172/3"
London-North-Western-South	0464	5	MD105	HNR	Northampton North Jn – Rugby South Jn	66	12	83	54	"E
R1"	N	E	Y	N	"E
R2"	Y	N	Y	Y	"R1Route prohibited to Class 165/1
R2Route prohibited to Class 172/2 and 172/3"
London-North-Western-South	0464	6	MD120	CWJ	"Camden Jn DC lines (Down DC line
mileage) – Kilburn High Road (DC Lines)"	1	36	3	01	N	N	N	N	N	"E
R1"	N	N	N	N	R1    Prohibited to Class 172/2 and 172/3
London-North-Western-South	0464	7	MD120	CWJ	"Kilburn High Road – Willesden
Suburban Jn (DC Lines)"	3	01	5	28	N	N	N	N	N	"E
R1"	N	N	N	N	R1    Prohibited to Class 172/2 and 172/3
London-North-Western-South	0464	8	MD120	CWJ	"Willesden Suburban Jn – Harrow and
Wealdstone  (Sand Drag) (DC Lines)"	5	28	11	46	"E
R1
R2"	N	"E
R2"	N	N	"R2
R3
R4"	N	N	N	N	"R1Route prohibited to Class 165/1
R2Permitted Willesden Junction Low Level for
access to Willesden TMD
R3Prohibited between Willesden Junction Low
Level and Harrow and Wealdstone
R4Prohibited to Class 172/2 and 172/3 when
laden"
London-North-Western-South	0464	9	MD120	CWJ	"Harrow and Wealdstone (Sand Drag) –
Watford Jn (DC Lines)"	11	46	17	58	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0464	10	MD130	WSA	Watford Junction – St Albans Abbey	0	00	6	45	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0464	11	MD136	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	12	MD136	WCL	"Railnet Jn – Willesden Carriage Shed
South"	1	11	2	00	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	13	MD136	WCL	"Willesden Carriage Shed South –
Connection with Yard line"	2	00	2	60	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	14	MD136	WEF1	"Connection with Yard line – Wembley
Central Jn"	2	60	2	76	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	15	MD137	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	16	MD137	UHL	Railnet Jn – Wembley Yard South Jn	1	11	1	62	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	17	MD137	WEF1	"Wembley Yard South Jn – Wembley
Central Jn"	1	62	2	76	N	N	N	N	N	E	N	N	N	Y	
London-North-Western-South	0464	18	MD140	LEC1	"Bletchley South Jn – Bletchley North Jn
(Change of Mileage)"	46	41	46	59	N	N	N	N	N	"E
R1"	N	N	N	N	R1Prohibited with footsteps fitted
London-North-Western-South	0464	19	MD140	BBM	"Bletchley North Jn (Change of Mileage)
– Limit of electrification (Bletchley TMD)"	0	11	0	21	N	N	N	N	N	"E
R1"	N	N	N	N	R1Prohibited with footsteps fitted
London-North-Western-South	0464	20	MD140	BBM	"Limit of electrification (Bletchley TMD) –
Route Boundary (LN3140) (Bedford)"	0	21	16	07	N	N	N	N	N	"E
R1"	N	N	N	N	R1Prohibited with footsteps fitted
