Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1093	1	LN101	ECM1	ings Cross – Copenhagen Jn	0	00	0	64	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	2	LN101	ECM1	"openhagen Jn – Holloway South /
orth Jns"	0	64	1	44	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	3	LN101	ECM1	"olloway South / North Jns –  Wood
reen North Jn"	1	44	5	07	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	4	LN101	ECM1	ood Green North Jn –  Langley Jn	5	07	25	73	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	5	LN101	ECM1	angley Jn – St Neots	25	73	51	58	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	6	LN101	ECM1	t Neots – Fletton Jn	51	58	75	02	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	7	LN101	ECM1	letton Jn – Peterborough	75	02	76	29	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	8	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	9	LN101	PMJ	"eterborough – Helpston Jn via
tamford lines"	22	19	16	71	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	10	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	11	LN101	ECM1	etford – Loversall Carr Jn	138	49	150	00	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	12	LN101	ECM1	oversall Carr Jn – Marshgate Jn	152	00	156	26	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	13	LN101	ECM1	arshgate Jn – Shaftholme Jn	156	26	160	16	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	14	LN105	MEB1	oorgate – Drayton Park	0	00	2	56	9	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1093	15	LN105	MEB1	rayton Park – Finsbury Park Jn	2	56	3	37	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	16	LN110	CFP	"oute Boundary (EA1320) (Canonbury
est Jn) - Finsbury Park Jn"	3	20	4	33	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	17	LN115	CRF1	"openhagen Jn – Route Boundary
EA1320) (North London Incline)"	0	00	0	20	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	18	LN120	HDB	"Wood Green Jn – Langley Jn via
ertford"	5	07	28	15	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	19	LN125	SBR	"ambridge Jn – Route Boundary
EA1230)"	32	11	45	60	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1093	20	LN126	DCF	itchin North Jn – Hitchin East Jn	32	53	34	05	9	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
