Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Scotland	1099	1	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	10	Y	
Scotland	1099	2	SC106	PNS	"Sighthill West Jn – Cowlairs South Jn
(Chord line)"	0	30	0	00	8	Y	
Scotland	1099	3	SC107	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	10	Y	
Scotland	1099	4	SC107	EGM4	"Edinburgh Waverley – Waverley West
End (South lines)"	0	00	0	15	10	Y	
Scotland	1099	5	SC107	ECN1	"Edinburgh Waverley – Waverley West
End (North lines)"	0	00	0	15	10	Y	
Scotland	1099	6	SC107	EGM3	"Waverley West End – Haymarket
(South lines)"	0	15	1	19	10	Y	
Scotland	1099	7	SC107	ECN2	"Waverley West End – Haymarket
(North lines)"	0	15	1	19	10	Y	
Scotland	1099	8	SC107	EGM2	"Haymarket – Haymarket East Jn
(South lines)"	46	02	45	72	10	Y	
Scotland	1099	9	SC107	ECN2	"Haymarket – Haymarket East Jn
(North lines)"	1	19	1	29	10	Y	
Scotland	1099	10	SC107	EGM2	"Haymarket East Jn – Haymarket
Central Jn (South lnes)"	45	72	45	35	10	Y	
Scotland	1099	11	SC107	ECN2	"Haymarket East Jn – Haymarket
Central Jn (North lnes)"	1	29	1	66	10	Y	
Scotland	1099	12	SC107	EGM2	"Haymarket Central Jn – Haymarket
West Jn (South lnes)"	45	35	44	73	10	Y	
Scotland	1099	13	SC107	ECN2	"Haymarket Central Jn – Haymarket
West Jn (North lines)"	1	66	2	41	10	Y	
Scotland	1099	14	SC107	EGM1	"Haymarket West Jn – Cowlairs West
Jn"	44	73	1	67	10	"R1
R2"	"R1Prohibited between Newbridge Jn and Winchburgh Jn on the Up line
R2Prohibited between Polmont Jn and Falkirk High on the Up South
Passenger Loop"
Scotland	1099	15	SC107	EGM1	"Cowlairs West Jn – Glasgow Queen
Street"	1	67	0	00	8	R1	"R1Prohibited between Cowlairs South Jn and Glasgow Queen Street on
the Down line"
Scotland	1099	16	SC109	PMT	Polmont Jn – Grangemouth Jn	21	20	23	75	10	Y	
Scotland	1099	17	SC109	PMT	Grangemouth Jn – Carmuirs East Jn	23	75	25	79	10	Y	
Scotland	1099	18	SC109	CMS	Carmuirs East Jn – Carmuirs West Jn	0	40	0	-02	10	Y	
Scotland	1099	19	SC109	SCM3	"Carmuirs West Jn – Greenhill Lower
Jn"	108	74	106	62	10	Y	
Scotland	1099	20	SC109	GHL	"Greenhill Lower Jn – Greenhill Upper
Jn"	0	52	0	00	10	Y	
Scotland	1099	21	SC110	PMT	Carmuirs East Jn – Larbert Jn	25	79	26	35	10	Y	
Scotland	1099	22	SC111	NBE	Newbridge Jn – Bathgate	35	21	25	18	10	Y	
Scotland	1099	23	SC113	DMY	Winchburgh Jn – Dalmeny Jn	34	54	39	03	8	Y	
