Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	360	365	373	377	378	379	380	387	499	700	Notes
Anglia	0393	1	EA1320	BOK1	"Canonbury West Jn – Dalston
Western Jn"	3	12	2	21	N	N	N	N	Y	E	EH	E	N	"E
R1"	"R1Prohibited Up East London and Down East
London lines"
Anglia	0393	2	EA1320	DWW1	"Dalston Western Jn - Navarino Road
Jn (Change of Mileage)"	2	21	1	52	N	N	N	N	Y	E	EH	E	N	E	
Anglia	0393	3	EA1320	DWW2	"Navarino Road Jn (Change of
Mileage) – Lea Jn"	1	11	3	19	N	N	N	N	Y	E	EH	E	N	E	
Anglia	0393	4	EA1320	DWW2	Lea Jn – Channelsea North Jn	3	19	3	32	N	N	N	N	Y	E	EH	E	N	N	
Anglia	0393	5	EA1320	DWW2	"Channelsea North Jn – Channelsea
South Jn"	3	32	3	33	N	N	N	N	Y	Y	EH	E	N	N	
Anglia	0393	6	EA1320	DWW2	Channelsea South Jn – Stratford	3	33	3	74	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	7	EA1325	BOK1	"Limit of reversible working DNL –
Network Rail Boundary (TFL ELL)"	3	38	2	17	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	8	EA1325	ELL1	"Network Rail Boundary (TFL ELL) –
Canal Jn (TFL Infrastructure)"	2	17	5	21	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	9	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Up East
London Line) (TFL Infrastructure)"	5	21	5	52	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	10	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Down East
London Line) (TFL Infrastructure)"	5	21	5	73	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	11	EA1325	ELL2	"Canal Jn – Lewisham (TFL
Infrastructure)"	5	21	5	78	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	12	EA1327	ELL3	"Silwood Jn – ELL/Network Rail
Boundary (TFL Infrastructure)"	4	66	5	51	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	13	EA1327	ELL4	"ELL/Network Rail Boundary – Old
Kent Road Jn (SO680)"	2	23	2	32	N	N	N	N	Y	N	N	N	N	N	
Anglia	0393	14	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	N	N	Y	N	N	N	N	N	N	N	
Anglia	0393	15	EA1330	NKE1	"Kew East Jn – Route Boundary
(SW230) (New Kew Jn)"	3	27	3	39	N	N	"H
R1"	N	N	N	N	N	N	N	"R1OPPOS applies between Kew East Jn and
New Kew Jn"
Anglia	0393	16	EA1330	BOK5	"Kew East Jn – Route Boundary
(SW230) (Old Kew Jn)"	3	27	3	61	N	N	Y	N	N	N	N	N	N	N	
Anglia	0393	17	EA1340	LLS2	Lea Jn – High Meads Jn	0	51	0	65	N	N	N	N	E	N	N	E	N	N	
Anglia	0393	18	EA1350	CHM	"Channelsea North Jn – High Meads
Jn"	0	00	0	15	E	N	N	N	E	Y	N	E	N	N	
Anglia	0393	19	EA1350	LLS1	"High Meads Jn – Temple Mills East
Jn"	0	15	0	59	E	N	N	N	E	Y	N	E	N	N	
Anglia	0393	20	EA1360	CAW	"Route Boundary (LN3219)
(Cricklewood Curve Jn) – Dudding
Hill Jn"	5	72	6	04	N	N	N	N	N	N	N	N	N	N	
