Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0867	1	NW8015	BEN	"Bidston East Jn – New Brighton (New Brighton
lines)"	4	40	7	18	N	N	Y	Y	
London-North-Western-North	0867	2	NW8017	"CCS1/
2"	"Network Rail Boundary (Canning Street North) –
Rock Ferry South Jn"	15	40	13	30	N	N	N	N	
London-North-Western-North	0867	3	NW9001	MAS	"Route Boundary (LN808) (Dore West Jn) – Chinley
North Jn"	154	20	174	01	N	N	N	N	
London-North-Western-North	0867	4	NW9001	TTA1	Chinley North Jn – New Mills South Jn	168	39	172	27	N	N	N	N	
London-North-Western-North	0867	5	NW9001	NMC1	New Mills South Jn – Hazel Grove High Level Jn	172	27	177	40	N	N	N	N	
London-North-Western-North	0867	6	NW9001	HGC	Hazel Grove High Level Jn – Hazel Grove East Jn	2	62	2	35	N	N	N	N	
London-North-Western-North	0867	7	NW9001	BEJ	"Hazel Grove East Jn (Limit of Electrification) –
Edgeley Jn No.1"	2	35	0	00	N	N	N	N	
London-North-Western-North	0867	8	NW9003	CYC	Chinley East Jn – Chinley South Jn (Chord Line)	168	32	167	56	N	N	N	N	
London-North-Western-North	0867	9	NW9005	CNB1	Chinley North Jn – Chinley South Jn	168	39	167	56	N	N	N	N	
London-North-Western-North	0867	10	NW9005	CNB1	"Chinley South Jn – Change of Mileage (Site of
Former Peak Forest Jn)"	167	56	161	05	N	N	N	N	
London-North-Western-North	0867	11	NW9005	CNB2	"Change of Mileage (Site of Former Peak Forest Jn)
– Change of Mileage (Site of Former Buxton Jn)"	0	00	0	28	N	N	N	N	
London-North-Western-North	0867	12	NW9005	CNB3	"Change of Mileage (Site of Former Buxton Jn) –
Buxton SB"	161	15	164	52	N	N	N	N	
London-North-Western-North	0867	13	NW9005	CNB4	Buxton SB – Buxton Sidings	164	52	164	73	N	N	N	N	
London-North-Western-North	0867	14	NW9007	TTA1	New Mills South Jn – Marple Wharf Jn	172	17	177	23	N	N	N	N	
London-North-Western-North	0867	15	NW9007	TTA1	Marple Wharf Jn – Romiley Jn	177	23	178	33	N	N	N	N	
London-North-Western-North	0867	16	NW9007	TTA1	Romiley Jn – Brinnington (Change of Mileage)	178	33	181	00	N	N	N	N	
London-North-Western-North	0867	17	NW9007	TTA2	"Brinnington (Change of Mileage) – Ashburys East
Jn"	42	77	46	24	N	N	N	N	
London-North-Western-North	0867	18	NW9009	MRH	Marple Wharf Jn – Rose Hill Buffer Stop	11	02	9	78	N	N	N	N	
London-North-Western-North	0867	19	NW9011	RYH1	Romiley Jn – Woodley Jn	178	33	179	44	N	N	N	N	
London-North-Western-North	0867	20	NW9011	RYH2	Woodley Jn – Hyde Jn	8	74	6	16	N	N	N	N	
London-North-Western-North	0867	21	NW9013	WJP1	Woodley Jn – Bredbury Sidings	40	53	39	58	N	N	N	N	
London-North-Western-North	0867	22	NW9017	"NMC1/
2"	Hazel Grove High Level Jn – Cheadle Jn	177	40	181	71	N	N	N	N	
London-North-Western-North	0867	23	NW9017	WJP1	Cheadle Jn – Northenden Jn	35	64	33	52	N	N	N	N	
London-North-Western-North	0867	24	NW9019	BUX	Buxton – Brigg’s Sidings	0	00	4	70	N	N	N	N	
