Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Kent-Sussex-Wessex	0933	1	SO330	NCS	"Courthill Loop North Jn – Courthill
Loop South Jn"	6	21	6	43	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	2	SO330	LCH	Courthill Loop North Jn – Ladywell Jn	6	21	6	41	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	3	SO330	LCH	Ladywell Jn – New Beckenham Jn	6	41	9	51	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	4	SO330	NBB	New Beckenham Jn – Beckenham Jn	9	51	10	04	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	5	SO330	LCH	New Beckenham Jn – Hayes	9	51	14	32	4	N	N	N	N	N	N	
Kent-Sussex-Wessex	0933	6	SO350	BNG	Grove Park (SO130) – Bromley North	8	87	10	47	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	7	SO500	VTB1	"Victoria platforms 9-19 – Battersea
Pier Jn"	0	00	0	71	8	N	N	R1	N	N	N	R1Prohibited Victoria platform 19
Kent-Sussex-Wessex	0933	8	SO500	VTB1	Battersea Pier Jn – Battersea Park Jn	0	71	1	13	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	9	SO500	VTB1	Battersea Park Jn – Pouparts Jn	1	13	2	03	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	10	SO500	VTB1	Pouparts Jn – Falcon Jn	2	03	2	66	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	11	SO500	WLL	"Falcon Jn – Latchmere No1 Jn via
Clapham Jn platforms 16 and 17"	0	00	0	63	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	12	SO500	VTB1	Falcon Jn – Balham Jn	2	66	4	69	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	13	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	14	SO500	SNS	"Streatham North Jn – Streatham
South Jn via Reversible Fast Spur"	6	16	6	35	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	15	SO500	SLJ	"Streatham North Jn – Streatham
South Jn via Slow Spurs"	6	14	6	38	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	16	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	17	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	18	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	19	SO500	VTB2	"Windmill Bridge Jn – South Croydon
Jn"	9	69	11	29	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	20	SO500	VTB2	South Croydon Jn – Stoats Nest Jn	11	29	14	20	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	21	SO500	RED1/2	Stoats Nest Jn – Redhill	14	20	22	40	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	22	SO500	RED1/2	"Redhill – Change of Mileage (Redhill /
Slow lines) Via Redhill"	22	40	23	00	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	23	SO500	VTB2	"Stoats Nest Jn – Change of Mileage
(Quarry / Fast lines)"	14	20	23	21	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	24	SO500	VTB3	"Change of Mileage (Quarry / Fast
lines) – Three Bridges"	21	15	29	21	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	25	SO500	VTB3	Three Bridges – Copyhold Jn	29	21	36	73	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	26	SO500	CJA1	Copyhold Jn – Change of Mileage	36	73	36	33	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	27	SO500	CJA2	Change of Mileage – Ardingly Sidings	0	00	0	70	8	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0933	28	SO500	VTB3	Copyhold Jn – Keymer Jn	36	73	40	69	8	N	N	Y	N	N	N	
