Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0482	1	MD725	MCJ2	"Aylesbury Vale Parkway – Change of
Mileage (Quainton Road)"	40	38	44	28	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	2	MD725	MCJ3	"hange of Mileage (Quainton Road) –
Calvert Jn (Change of Mileage)"	161	50	156	72	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	3	MD725	MCJ4	"alvert Jn (Change of Mileage) –
Claydon L&NE Jn"	0	00	0	41	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	4	MD736	OXD	"oute Boundary (GW277) –Gavray
Junction"	29	25	19	00	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0482	5	MD736	OXD	avray Junction – Gates (Claydon)	19	00	12	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	6	MD736	OXD	ates (Claydon) – Buffer Stops	12	00	1	31	N	N	N	N	N	N	N	N	N	N	Line non operational
London-North-Western-South	0482	7	MD736	OXD	"uffer Stops – Flyover Junction
(Change of ELR)"	1	27	0	62	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	8	MD736	BFO	"lyover Junction (Change of ELR) –
Flyover Junction Summit"	0	00	0	68	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	9	MD736	DHF	"lyover Junction Summit – Limit of
Electrification"	0	68	1	37	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	10	MD736	DHF	"imit of Electrification – Bletchley
Flyover North Jn"	1	37	1	61	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	11	MD736	DHF	"letchley Flyover North Jn – Denbigh
Hall South Jn"	1	61	1	73	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	12	MD740	BFO	"lyover Jn (Summit) – Fenny Stratford
Bletchley Flyover Jn"	0	68	1	59	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	13	MD745	BSG	"Bicester South Junction – Gavray
Junction"	0	00	0	52	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0482	14	MD801	WSJ1	"Wolverhampton North Jn – Oxley,
Stafford Road Jn (Change of Mileage)"	143	52	142	79	N	N	Y	N	Y	Y	Y	H	E	N	
London-North-Western-South	0482	15	MD801	WSJ2	"Oxley, Stafford Road Jn (Change of
Mileage) – Limit of Electrification"	143	02	143	65	N	N	Y	N	Y	Y	Y	H	E	N	
London-North-Western-South	0482	16	MD801	WSJ2	Limit of Electrification – Madeley Jn	143	65	156	19	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	17	MD801	WSJ2	"Madeley Jn – Route Boundary
(GW731) (Abbey Foregate )"	156	19	170	46	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	18	MD805	OXC	"ushbury (Oxley) Jn – Stafford Road
Jn"	1	02	0	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0482	19	MD810	MJI1	"Madeley Junction – Site of Former
Lightmoor Jn"	156	19	160	29	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0482	20	MD810	MJI2	"Site of Former Lightmoor Jn –
Ironbridge Power Station (NR
Boundary)"	156	19	160	29	N	N	N	N	N	N	N	N	N	N	
