Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Anglia	0447	1	EA1490	CRS	"Cromer Jn – Network Rail Boundary
(North Norfolk Railway)"	46	27	42	69	6	N	N	N	N	N	N	
Anglia	0447	2	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	7	"H
R1"	N	Y	H	N	N	"R1The Battery Isolating Switch must be left in the
open position"
Anglia	0447	3	EA1500	RBY	"Breydon Access No24 LC (EA1510) –
Yarmouth"	19	13	20	45	7	"H
R1"	N	Y	H	N	N	"R1The Battery Isolating Switch must be left in the
open position"
Anglia	0447	4	EA1510	RBY	"Reedham Jn – Breydon Access No24
LC"	12	34	19	13	7	"H
R1"	N	Y	H	N	N	"R1The Battery Isolating Switch must be left in the
open position"
Anglia	0447	5	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	7	N	N	Y	N	N	N	
Anglia	0447	6	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	8	N	N	Y	H	N	N	
Anglia	0447	7	EA1540	SOB1	"Chippenham Jn – Site of Former
Snailwell Jn"	0	63	0	00	8	N	N	Y	H	N	N	
Anglia	0447	8	EA1540	SOB2	"Site of Former Snailwell Jn  – Ely
Dock Jn"	1	54	12	33	8	N	N	Y	H	N	N	
Anglia	0447	9	EA1550	EWC	"Ely North Jn – Ely West Jn (Ely West
Curve)"	71	63	72	63	8	N	N	Y	N	N	N	
Anglia	0447	10	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	8	N	N	Y	H	H	N	
Anglia	0447	11	EA1560	EMP	"Ely West Jn – Route Boundary
(LN135) (Peterborough)"	72	39	98	40	8	N	N	Y	H	"H
R1"	N	"R150mph maximum speed Harts Bridge No 1833
(Centre Girder Underbridge) Down Main at 94m
75 ch"
Anglia	0447	12	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	6	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0447	13	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	8	N	N	Y	N	N	N	
Anglia	0447	14	EA1570	WIG	"Whitemoor Jn – Wisbech (Line out of
use)"	86	18	93	60	6	N	N	Y	N	N	N	
Anglia	0447	15	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	8	"H
R1"	N	Y	H	N	N	"R120mph over Bridge 1603 (93m 63ch) on the Up
line"
Anglia	0447	16	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	10	N	N	Y	N	N	N	
