Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Western-and-Wales	0807	1	GW350	WAH	"Site of former Rainbow Hill Jn Change
of ELR – Henwick SB (Droitwich
Single)"	120	64	121	65	7	Y	
Western-and-Wales	0807	2	GW370	OWW	"Droitwich Spa  – Route Boundary
(MD430) (Kidderminster)"	126	21	130	40	8	Y	
Western-and-Wales	0807	3	GW400	BAG2	"Route Boundary (MD305) (Barnt
Green)  – Stoke Works Jn"	52	40	57	43	8	Y	
Western-and-Wales	0807	4	GW400	BAG2	Stoke Works Jn  – Abbotswood Jn	57	43	68	60	8	Y	
Western-and-Wales	0807	5	GW400	BAG2	"Abbotswood Jn – Gloucester
Barnwood Jn (Change of ELR)"	68	60	92	21	8	Y	
Western-and-Wales	0807	6	GW400	CHL	"Gloucester Barnwood Jn (Change of
ELR)  – Gloucester Yard Jn (Change
of ELR)"	92	21	93	08	8	Y	
Western-and-Wales	0807	7	GW400	BGL1	"Gloucester Yard Jn (Change of ELR) –
Change of ELR"	93	08	94	10	8	Y	
Western-and-Wales	0807	8	GW400	BGL2	Change of ELR – Standish Jn	94	60	99	69	8	Y	
Western-and-Wales	0807	9	GW400	BGL2	"Standish Jn – Yate South Jn (Change
of ELR)"	99	69	120	03	8	Y	
Western-and-Wales	0807	10	GW400	YAT	"Yate South Jn (Change of ELR) –
Westerleigh Jn"	120	03	121	28	8	Y	
Western-and-Wales	0807	11	GW425	"SAW/S
SS"	"Berkeley Road Jn  – Sharpness
(Network Rail Boundary)"	0	04	3	69	6	Y	
Western-and-Wales	0807	12	GW430	THO	Yate Middle Jn  – Tytherington	0	00	6	24	8	Y	
Western-and-Wales	0807	13	GW440	BGL2	Yate South Jn  – Westerleigh Yard	120	03	122	65	8	Y	
Western-and-Wales	0807	14	GW450	FEC	"Stoke Gifford Jn No.1 – Change of
ELR"	111	79	113	01	8	Y	
Western-and-Wales	0807	15	GW450	BSW	Change of ELR  – Bristol East Jn	4	50	0	26	8	Y	
Western-and-Wales	0807	16	GW4501	AFR	"Stoke Gifford Jn No.2  – Hallen Marsh
Jn (Change of ELR)"	112	05	118	42	7	Y	
Western-and-Wales	0807	17	GW4501	AMB	"Hallen Marsh Jn (Change of ELR) –
Holesmouth Jn"	14	38	14	60	7	Y	
Western-and-Wales	0807	18	GW4501	AMB	"Holesmouth Jn – Avonmouth (Bristol
Bulk Handling Terminal)"	14	60	15	40	7	Y	
Western-and-Wales	0807	19	GW451	FWC	Filton Jn No 2  – Filton West Jn No.2	4	66	5	41	7	Y	
Western-and-Wales	0807	20	GW454	AMB	"Severn Beach  – St Andrews Jn
(Change of ELR)"	11	64	16	00	7	Y	
Western-and-Wales	0807	21	GW454	CNX	"St Andrews Jn (Change of ELR)  –
Narroways Hill Jn"	9	32	2	03	7	Y	
