Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	357	357 OD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1043	1	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	2	LN746	TYB1	"Cottam Power Station – Clarborough
Jn"	71	79	68	32	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	3	LN748	WHR	"etford Western Jn – Thrumpton West
Jn"	64	29	63	28	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	4	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	5	LN752	DOW	rawby Jn – Marshgate Jn	33	34	0	03	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	6	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	7	LN756	NOP1	"Scunthorpe Trent Jn – Site of former
Dawes Lane Jn"	0	00	0	28	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	8	LN756	NOP2	"Site of former Dawes Lane Jn – NR
Boundary (Roxby)"	0	25	3	60	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	9	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	10	LN758	BKS	St Catherines Jn – Low Ellers Curve Jn	15	17	15	55	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	11	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	12	LN760	HAC	Firbeck Jn – Harworth Colliery	11	20	14	21	N	N	N	N	N	N	N	N	N	N	N	"Line out of use (temporarily) until 09 May 2015
NC/G1/2011/LNE/STNC/002"
London-North-Eastern	1043	13	LN762	YDS	"St Catherines Jn – Decoy South Jn (St
Catherines Curve)"	15	17	15	71	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	14	LN764	UDS	Low Ellers Curve Jn – Potteric Carr Jn	15	55	16	56	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	15	LN766	HJB	"Bentley Jn – Hexthorpe Jn (Doncaster
Avoiding Line)"	3	24	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	16	LN768	PSE	"Route Boundary (LN3273) (Mansfield)
– Shireoaks East Jn"	143	00	154	30	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	17	LN772	SWP	Warsop Jn – Shirebrook Jn	0	00	0	45	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	18	LN774	BAC2	Barrow Hill North Jn – Seymour Jn SB	149	53	152	21	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	19	LN774	BAC3	"Seymour Jn SB – Oxcroft Disposal
Point"	155	06	0	78	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	20	LN776	HLF1	all Lane Jn – Change of ELR	0	44	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	21	LN776	HLF2	hange of ELR – Foxlow Jn	150	47	150	64	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	22	LN778	BOC1	Seymour Jn – Bolsover	7	51	5	21	N	N	N	N	N	N	N	N	N	N	N	"Line out of use between Site of former
Markham Colliery Jn and Bolsover
NC/G1/2010/LNE/020V"
London-North-Eastern	1043	23	LN782	SHW	Woodend Jn – Shireoaks West Jn	153	71	154	36	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	24	LN784	HIM	igh Marnham – Thoresby Colliery Jn	27	48	17	16	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1043	25	LN784	HIM	Thoresby Colliery Jn – Warsop Jn	17	16	10	59	N	N	N	N	N	N	N	N	N	N	N	
