Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Scotland	1097	1	SC059	LYE	"Cook St – High St Line (Smithy Lye
through line)"	0	00	0	44	8	Y	
Scotland	1097	2	SC059	AYR1	Cook St – Shields Jn	0	19	1	00	8	Y	
Scotland	1097	3	SC059	AYR1	"Shields Jn – Change of ELR (Paisley
Gilmour Street)"	1	00	6	53	10	Y	
Scotland	1097	4	SC059	AYR2	"Change of ELR (Paisley Gilmour
Street) – Change of ELR (Brown
Street crossover)"	6	73	7	00	10	Y	
Scotland	1097	5	SC059	AYR3	"Change of ELR (Brown Street
crossover) – Change of ELR (Dalry)"	7	00	23	00	10	Y	
Scotland	1097	6	SC059	AYR4	"Change of ELR (Dalry) – Change of
ELR (Barassie Jn)"	23	00	33	08	10	Y	
Scotland	1097	7	SC059	AYR5	"Change of ELR (Barassie Jn) –
Change of ELR (Between Troon and
Prestwick International Airport)"	0	00	2	15	10	Y	
Scotland	1097	8	SC059	AYR6	"Change of ELR (Between Troon and
Prestwick International Airport) –
Falkland Jn"	35	05	38	73	10	Y	
Scotland	1097	9	SC059	AYR6	Falkland Jn – Ayr	38	73	40	49	8	Y	
Scotland	1097	10	SC059	STR1	Ayr – Dalrymple Jn	40	49	43	53	8	Y	
Scotland	1097	11	SC059	STR1	"Dalrymple Jn – Change of ELR
(Girvan)"	43	53	61	60	5	N	
Scotland	1097	12	SC059	STR2	"Change of ELR (Girvan) – Change of
ELR (Betweeen Challoch LC and
Dunragit SB & LC)"	0	00	30	67	5	Y	
Scotland	1097	13	SC059	STR3	"Change of ELR (Betweeen Challoch
LC and Dunragit SB & LC) – Change
of ELR (Stranraer Yard GF)"	46	54	53	05	5	Y	
Scotland	1097	14	SC059	STR4	"Change of ELR (Stranraer Yard GF) –
End of Line"	53	05	54	05	5	Y	
Scotland	1097	15	SC061	CNL	Shields Jn – Corkerhill	1	05	3	11	10	Y	
Scotland	1097	16	SC061	CNL	Corkerhill – Paisley Canal	3	11	7	00	10	Y	
Scotland	1097	17	SC063	CND1	Cardonald Jn – Cardonald North Jn	0	00	0	36	9	Y	
Scotland	1097	18	SC063	CND2	"Cardonald North Jn – Deanside
(Goods Line)"	0	36	1	54	9	Y	
Scotland	1097	19	SC065	GOU1	"Paisley (Wallneuk Jn) – Change of
ELR"	6	34	6	53	7	R1	"R1Prohibited between Paisley Gilmour St and Change of ELR on the
Up Gourock line"
Scotland	1097	20	SC065	GOU2	Change of ELR – Bishopton	107	70	112	60	7	R1	"R1Prohibited between Change of ELR and Paisley St James on the Up
Gourock line"
