Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
Scotland	1057	1	SC143	OBN2	"Lower Crianlarich GF – Inverhaggernie
No.1 LC"	30	23	31	00	5	N	N	N	N	N	Y	R1	R110mph over  bridge 158 (30m 80ch)
Scotland	1057	2	SC143	OBN2	Inverhaggernie No.1 LC – Oban	31	00	71	44	5	N	N	N	N	N	R3	"R1
R2"	"R130mph over bridge 176 (35m 17ch)
R220mph over bridge 268 (66m 16ch)
R315mph Tyndrum Lower platform"
Scotland	1057	3	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	5	N	"R1
R2"	"R1
R2"	N	N	Y	Y	"R120mph over Lochy Viaduct (0m 55ch –
0m 60ch)
R2Double Heading prohibited except for
providing assistance"
Scotland	1057	4	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	5	N	"R1
R2"	"R1
R2"	N	N	R3	Y	"R1Prohibited between Annat Pulp Mill GF
and Mallaig
R2Double Heading prohibited except for
providing assistance
R3Prohibited Arisaig Loading Bank"
Scotland	1057	5	SC147	ECM8	"Route Boundary (LN600) (Heaton South
Jn) – Prestonpans Jn"	69	67	9	67	10	Y	Y	"R1
R2
R3"	Y	Y	Y	Y	"R160mph over bridge 154A (A1 Bridge)
(51m 12ch)
R260mph between bridge 86 (Spott Road)
(30m 01ch) and bridge 88 (Broxburn)
(29m 23ch)
R360mph over bridge 67 (Tyne Bridge)
(23m 37ch)"
Scotland	1057	6	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	7	SC147	ECM9	"Calton South Tunnel – Waverley East
End"	0	29	0	21	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	8	SC147	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	9	SC147	EGM4	"Edinburgh Waverley – Waverley West
End (South Lines)"	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	10	SC147	ECN1	"Edinburgh Waverley – Waverley West
End (North Lines)"	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	11	SC147	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	12	SC147	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	13	SC147	EGM2	"Haymarket – Haymarket East Jn (South
Lines)"	46	02	45	72	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1057	14	SC147	ECN2	"Haymarket – Haymarket East Jn (North
Lines)"	1	19	1	29	10	Y	Y	Y	Y	Y	Y	Y	
