Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Western-and-Wales	0815	1	GW915	GNT	"Former Jn (Change of ELR) –
Pantyffynnon"	14	60	10	04	5	Y	
Western-and-Wales	0815	2	GW930	CAN	"Carmarthen Jn  – End of Line (Beyond
Carmarthen Station)"	245	10	245	65	8	Y	
Western-and-Wales	0815	3	GW940	"CAN/C
NW"	"Up Sidings No.2 GF  – Carmarthen
Bridge Jn"	245	43	245	32	8	Y	
Western-and-Wales	0815	4	GW950	PEM	Whitland Jn – Pembroke RA Change	259	01	284	22	7	Y	
Western-and-Wales	0815	5	GW950	PEM	"Pembroke RA Change – Pembroke
Dock"	284	22	286	26	6	Y	
Western-and-Wales	0815	6	GW960	SWM2	Clarbeston Road  – Haverfordwest	271	08	276	08	8	Y	
Western-and-Wales	0815	7	GW960	SWM2	"Haverfordwest  – Change of ELR (Site
of Former Johnston Jn)"	276	08	280	70	8	Y	
Western-and-Wales	0815	8	GW960	MIL	"Change of ELR (Site of Former
Johnston Jn) – Herbranston Jn"	280	70	283	12	8	Y	
Western-and-Wales	0815	9	GW960	MIL	"Herbranston Jn  – End of Line
(Beyond Milford Haven)"	283	12	284	71	8	Y	
Western-and-Wales	0815	10	GW970	GOB	"Gulf Oil Branch Jn  – Waterston, Gulf
Oil Refinery"	0	00	2	35	8	Y	
Western-and-Wales	0815	11	GW980	ERB	Herbrandston Jn  – Robeston	0	00	1	18	8	Y	
