Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	170	172	180	185	220	221	222	Notes
London-North-Eastern	1008	1	LN838	LEH3	Site of Former Crimple Jn – Harrogate	15	20	17	24	N	N	Y	"R1
R2
R3
R4"	Y	Y	N	"R130mph LEH3/39 St James Drive overbridge 16m51ch
Down line
R25mph LEH3/39 St James Drive overbridge 16m51ch
Up Line
R330mph LEH3/40 Tewitt footbridge 16m62ch Down line
R45mph LEH3/40 Tewitt footbridge 16m62ch Up line"
London-North-Eastern	1008	2	LN838	HAY2	"arrogate – Site of Former Starbeck
orth Jn"	20	38	18	60	N	N	Y	R1	Y	Y	N	R1Prohibited Harrogate bay platform 2
London-North-Eastern	1008	3	LN838	HAY1	"ite of Former Starbeck North Jn –
kelton Jn"	18	60	1	50	N	N	Y	Y	Y	Y	N	
London-North-Eastern	1008	4	LN840	TJC3	"eeds Engine Shed Jn –  Whitehall
ast Jn"	195	20	195	52	N	N	Y	Y	N	N	N	
London-North-Eastern	1008	5	LN842	CJS	horpe Marsh Jn – Applehurst Jn	163	76	163	27	N	N	N	Y	N	N	N	
London-North-Eastern	1008	6	LN842	CJS	Applehurst Jn – Skellow Jn	163	27	160	59	N	N	N	Y	N	N	N	
London-North-Eastern	1008	7	LN842	SKA	Skellow Jn – Adwick Jn	0	61	0	00	N	N	N	Y	N	N	N	
London-North-Eastern	1008	8	LN844	JCA	pplehurst Jn – Joan Croft Jn	0	49	0	00	N	N	N	N	N	N	N	
London-North-Eastern	1008	9	LN846	CJS	Carcroft Jn – Skellow Jn	160	08	160	59	N	N	N	Y	N	N	N	
London-North-Eastern	1008	10	LN848	HPC	are Park Jn – Crofton West Jn	171	70	173	22	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1008	11	LN850	WWK	"Wakefield Westgate South Jn –
akefield Kirkgate West Jn"	0	00	0	26	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1008	12	LN852	LBE1	"Holbeck Jn – Site of Former
aisterdyke East Jn"	0	02	6	49	N	N	Y	R1	Y	Y	N	R15mph New Pudsey Down platform
London-North-Eastern	1008	13	LN852	LBE2	"Site of Former Laisterdyke East Jn –
ite of Former Laisterdyke West Jn"	190	24	190	60	N	N	Y	Y	Y	Y	N	
London-North-Eastern	1008	14	LN852	LBE3	"Site of Former Laisterdyke West Jn –
ite of Former Hammerton Street Jn"	190	60	191	30	N	N	Y	Y	Y	Y	N	
London-North-Eastern	1008	15	LN852	LBE4	"Site of Former Hammerton Street Jn –
ill Lane Jn"	191	30	191	75	N	N	Y	Y	Y	Y	N	
London-North-Eastern	1008	16	LN852	MRB	ill Lane Jn – Bradford Interchange	40	01	40	27	N	N	Y	Y	Y	Y	N	
