Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	325	332	360	387	Notes
Western-and-Wales	0721	1	GW731	WSJ2	"Route Boundary (MD801) (Madeley
Jn) – Abbey Foregate Jn"	170	46	171	15	H	N	N	N	
Western-and-Wales	0721	2	GW731	WSJ2	Abbey Foregate Jn – Crewe Jn	171	15	171	57	H	N	N	N	
Western-and-Wales	0721	3	GW731	WSJ2	"Crewe Jn – Route Boundary
(NW3005) (Wrexham General)"	171	57	199	00	H	N	N	N	
Western-and-Wales	0721	4	GW732	AFE	"Abbey Foregate Jn – English Bridge
Jn (Loop Lines)"	0	25	0	00	H	N	N	N	
Western-and-Wales	0721	5	GW733	"SBA1/
2"	Sutton Bridge Jn – Welshpool	0	00	33	70	H	N	N	N	
Western-and-Wales	0721	6	GW733	SBA2	Welshpool – Aberystwyth	33	70	95	60	H	N	N	N	
Western-and-Wales	0721	7	GW734	DJP	Dovey Jn – Pwllheli	78	60	132	70	H	N	N	N	
Western-and-Wales	0721	8	GW735	SYC	"Crewe Jn – Route Boundary
(NW1007) (Limit of Electrification)"	32	29	2	60	H	N	N	N	
Western-and-Wales	0721	9	GW736	GNQ1	"Gobowen South – Commencement of
single line board"	0	00	0	16	N	N	N	N	
Western-and-Wales	0721	10	GW740	MAI	Maindee East Jn – Maindee North Jn	41	65	41	33	H	N	N	N	
Western-and-Wales	0721	11	GW750	BNC	Hereford Yard Jn – Brecon Curve Jn	0	00	0	19	N	N	N	N	
Western-and-Wales	0721	12	GW750	HNL2	Brecon Curve Jn – MEB Siding	149	44	149	78	N	N	N	N	
Western-and-Wales	0721	13	GW770	EBW	"Ebbw Vale Parkway – Site of Former
Aberbeeg Jn"	18	45	14	23	H	N	N	N	
Western-and-Wales	0721	14	GW770	WVL	Site of Former Aberbeeg Jn – Park Jn	14	23	1	02	H	N	N	N	
Western-and-Wales	0721	15	GW770	GAE	"Park Jn – Gaer Jn (Western Valley
Line)"	160	24	159	33	N	N	N	N	
Western-and-Wales	0721	16	GW773	BJR	"Machen Quarry – Site of Former
Bassaleg Jn"	4	69	0	00	N	N	N	N	
Western-and-Wales	0721	17	GW773	WVL	"Site of Former Bassaleg Jn – Park Jn
(Machen Branch)"	2	05	1	10	N	N	N	N	
Western-and-Wales	0721	18	GW780	WVL	Park Jn – Park Jn SB	1	02	0	74	H	N	N	N	
Western-and-Wales	0721	19	GW780	NWN	Park Jn SB – Ebbw Jn	0	54	0	00	H	N	N	N	
Western-and-Wales	0721	20	GW784	NLL	"Alexandra Dock Jn – Network Rail
Boundary (Newport Docks)"	159	60	160	27	N	N	N	N	
Western-and-Wales	0721	21	GW790	ROC	Pengam Jn – Change of ELR	168	20	168	61	N	N	N	N	
Western-and-Wales	0721	22	GW790	ROA	"Change of ELR – Network Rail
Boundary (ABP Cardiff Docks)"	3	41	4	54	N	N	N	N	
Western-and-Wales	0721	23	GW810	CAR	"End of Line (Rhymney) – Ystrad
Mynach South Jn"	24	00	13	41	H	N	N	N	
Western-and-Wales	0721	24	GW810	CAR	Ystrad Mynach South Jn – Heath Jn	13	41	3	32	H	N	N	N	
