Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0695	1	"GW890
1"	RSB	Dynevor Jn – Jersey Marine South Jn	19	16	20	24	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0695	2	GW892	VON	"Network Rail Boundary (Cwmgwrach)
– Neath & Brecon Jn"	33	14	41	17	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0695	3	GW892	VON	Neath & Brecon Jn – Burrows Sidings	41	17	46	30	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0695	4	GW893	NAB	"Network Rail Boundary (Onllwyn) –
Neath and Brecon Jn"	10	10	0	01	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0695	5	GW894	JER	"Jersey Marine Jn North – Jersey
Marine Jn South"	1	24	2	26	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0695	6	GW897	HDY	"Grovesend Colliery Loop Jn – Hendy
Jn"	0	00	0	46	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	7	GW900	BSW	"Ableton Lane Tunnel – Severn Tunnel
Jn"	10	51	16	73	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	8	GW900	SWM2	Severn Tunnel Jn – Maindee West Jn	149	14	158	16	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	9	GW900	SWM2	Maindee West Jn – Cardiff East Jn	158	16	170	18	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	10	GW900	SWM2	Cardiff East Jn – Cardiff West Jn	170	18	170	56	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	11	GW900	SWM2	Cardiff West Jn – Court Sart Jn	170	56	206	58	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	12	GW900	SWM2	Court Sart Jn – Llandore Jn	206	58	214	62	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	13	GW900	SWM2	Llandore Jn – Llandeilo Jn	214	62	223	49	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	14	GW900	SWM2	Llandeilo Jn – Carmarthen Bridge Jn	223	49	245	32	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	15	GW900	SWM2	Carmarthen Bridge Jn – Whitland Jn	245	32	259	01	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	16	GW900	SWM2	Whitland Jn – Clarbeston Road Jn	259	01	271	08	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	17	GW900	CRL	"Clarbeston Road Jn – Change of ELR
(Letterston Jn)"	271	08	281	58	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	18	GW900	NPF	"Change of ELR (Letterston Jn) –
Network Rail Boundary (Fishguard
Harbour)"	283	30	287	52	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	19	"GW900
1"	SWA	Landore Jn – Swansea	214	62	216	07	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	20	GW906	SWL	"Swansea Loop East Jn – Swansea
Loop West Jn"	0	53	0	00	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	21	GW910	CWL1	Craven Arms Jn – Change of Mileage	20	01	20	12	E	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0695	22	GW910	CWL2	"Change of Mileage – Site of Former
Llandovery Jn"	0	00	59	14	E	Y	Y	Y	Y	Y	"R1
R2"	E	E	"R1Prohibited between Builth Road
and Site of Former Llandovery Jn
R2Prohibited Llandrindod Down
platform"
Western-and-Wales	0695	23	GW910	VOT	"Site of Former Llandovery Jn –
Llandeilo"	29	40	18	07	E	Y	Y	Y	Y	Y	N	E	E	
Western-and-Wales	0695	24	GW910	LLA	Llandeilo – Pantyffynnon	18	07	10	08	E	Y	Y	Y	Y	Y	N	"E
R1"	"E
R1"	R15mph Ffairfach platform
Western-and-Wales	0695	25	GW910	LLA	Pantyffynnon – Morlais Jn	10	08	3	50	E	Y	Y	Y	Y	Y	N	Y	Y	
Western-and-Wales	0695	26	GW910	LLA	Morlais Jn – Llandeilo Jn	3	50	0	00	E	Y	Y	Y	Y	Y	Y	Y	Y	
