Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	314	318	320	322	325	334	350	380	390	Notes
Scotland	0992	1	SC123	NEM5	"Knightswood North Jn – Change of
ELR (Between Bowling and Dumbarton
East)"	5	67	13	40	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	2	SC123	NEM6	"Change of ELR (Between Bowling and
Dumbarton East) – Change of ELR
(Dumbarton East)"	113	46	116	00	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	3	SC123	NEM7	"Change of ELR (Dumbarton East) –
Craigendoran Jn"	15	51	22	76	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	4	SC123	NEM7	Craigendoran Jn – Helensburgh Central	22	76	24	31	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	5	SC125	YKR	Hyndland East Jn – Hyndland West Jn	0	00	0	22	Y	Y	Y	Y	H	Y	N	E	N	
Scotland	0992	6	SC125	YKR	Hyndland West Jn – Dalmuir Park Jn	0	22	4	73	Y	Y	Y	Y	H	Y	N	"E
R1"	N	"1Prohibited Yorker Depot West End to
Dalmuir Park Jn"
Scotland	0992	7	SC129	SGN	Springburn – Bellgrove Jn	0	42	2	58	Y	Y	Y	Y	H	Y	N	EH	N	
Scotland	0992	8	SC131	HST	"High Street Jn – Connection to Smithy
Lye through line"	0	04	2	00	N	N	N	N	H	N	N	EH	N	
Scotland	0992	9	SC131	HST	"Connection to Smithy Lye through line
– Shields Jn"	2	00	2	35	N	N	N	N	H	N	E	Y	N	
Scotland	0992	10	SC133	MGE	Westerton Jn – Milngavie	6	19	9	35	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	11	SC135	BCH	Dalreoch Jn – Balloch	16	39	20	38	Y	Y	Y	Y	H	Y	N	N	N	
Scotland	0992	12	SC136	HYD	Hyndland North Jn – Hyndland West Jn	0	00	0	16	N	N	R1	Y	H	Y	N	N	N	R1Class 320/4 only
Scotland	0992	13	SC141	WHL	Craigendoran Jn – Crianlarich Jn	0	01	36	30	N	N	N	N	N	N	N	N	N	
Scotland	0992	14	SC141	WHL	Crianlarich Jn – Fort William	36	30	99	37	N	N	N	N	N	N	N	N	N	
Scotland	0992	15	SC143	OBN1	Crianlarich Jn – Lower Crianlarich GF	0	00	0	44	N	N	N	N	N	N	N	N	N	
Scotland	0992	16	SC143	OBN2	"Lower Crianlarich GF – Inverhaggernie
No.1 LC"	30	23	31	00	N	N	N	N	N	N	N	N	N	
Scotland	0992	17	SC143	OBN2	Inverhaggernie No.1 LC – Oban	31	00	71	44	N	N	N	N	N	N	N	N	N	
Scotland	0992	18	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	N	N	N	N	N	N	N	N	N	
Scotland	0992	19	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	N	N	N	N	N	N	N	N	N	
Scotland	0992	20	SC147	ECM8	"Route Boundary (LN600) (Heaton
South Jn) – Prestonpans Jn"	69	67	9	67	Y	Y	R1	Y	Y	R2	N	"EH
R3
R4"	N	"R1Class 320/4 prohibited between Route
Boundary (LN600) and Dunbar
R2Prohibited between Route Boundary
(LN600) and Drem
R3Dead hauled only between Route
Boundary (LN600) and Dunbar
R4Laden services between Dunbar and
Prestonpans Jn"
