Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	MPV	Notes
Anglia	0433	1	EA1320	DWW1	"Dalston Western Jn - Navarino Road
Jn (Change of Mileage)"	2	21	1	52	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0433	2	EA1320	DWW2	"Navarino Road Jn (Change of
Mileage) – Lea Jn"	1	11	3	19	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0433	3	EA1320	DWW2	Lea Jn – Channelsea North Jn	3	19	3	32	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0433	4	EA1320	DWW2	"Channelsea North Jn – Channelsea
South Jn"	3	32	3	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0433	5	EA1320	DWW2	Channelsea South Jn – Stratford	3	33	3	74	8	N	N	N	N	Y	Y	Y	N	N	
Anglia	0433	6	EA1325	BOK1	"Limit of reversible working DNL –
Network Rail Boundary (TFL ELL)"	3	38	2	17	8	N	N	Y	N	N	N	"R1
R2
R3
R4"	N	N	"R1Can only run as part of the Track
Recording Unit
R2Can only run when authorised by Rail for
London and only run or operate under
Special Traffic Notice subject to any
operational restrictions published within
the notice
R315mph through platforms and not to
exceed 20mph on the Infrastructure
R4Prohibited in diesel mode"
Anglia	0433	7	EA1325	ELL1	"Network Rail Boundary (TFL ELL) –
Canal Jn (TFL Infrastructure)"	2	17	5	21	8	N	N	Y	N	N	N	"R1
R2
R3
R4"	N	N	"R1Can only run as part of the Track
Recording Unit
R2Can only run when authorised by Rail for
London and only run or operate under
Special Traffic Notice subject to any
operational restrictions published within
the notice
R3Train not to enter Dalston Junction
platform 2 or 3
R415mph through platforms and not to
exceed 20mph on the Infrastructure.
Prohibited in diesel mode"
Anglia	0433	8	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Up East
London Line) (TFL Infrastructure)"	5	21	5	52	8	N	N	Y	N	N	N	"R1
R2
R3
R4"	N	N	"R1Can only run as part of the Track
Recording Unit
R2Can only run when authorised by Rail for
London and only run or operate under
Special Traffic Notice subject to any
operational restrictions published within
the notice
R315mph through platforms and not to
exceed 20mph on the Infrastructure
R4Prohibited in diesel mode"
