Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	325	332	360	387	Notes
Western-and-Wales	0715	1	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	H	N	N	N	
Western-and-Wales	0715	2	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	H	N	N	N	
Western-and-Wales	0715	3	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	H	N	N	N	
Western-and-Wales	0715	4	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	H	N	N	N	
Western-and-Wales	0715	5	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	H	N	N	N	
Western-and-Wales	0715	6	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	H	N	N	N	
Western-and-Wales	0715	7	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	H	N	N	N	
Western-and-Wales	0715	8	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	H	N	N	N	
Western-and-Wales	0715	9	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	H	N	N	N	
Western-and-Wales	0715	10	GW110	ANL	"Old Oak Common West – Greenford
East Jn"	3	20	7	15	H	EH	N	N	
Western-and-Wales	0715	11	GW110	ANL	"Greenford East Jn – Greenford West
Jn"	7	15	7	48	H	N	N	N	
Western-and-Wales	0715	12	GW110	ANL	"Greenford West Jn – Route Boundary
(MD705) (Northolt Jn)"	7	48	8	60	H	N	N	N	
Western-and-Wales	0715	13	GW117	GEC	"Greenford East Jn – Greenford South
Jn"	8	70	8	45	H	EH	N	N	
Western-and-Wales	0715	14	GW130	AWL	"Route Boundary (EA1310) (Acton
Wells Jn) – Acton East Jn"	0	39	0	08	H	N	N	E	
Western-and-Wales	0715	15	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	H	EH	N	N	
Western-and-Wales	0715	16	GW174	WEL1	"Drayton Green Jn – Greenford South
Jn"	7	03	8	45	H	EH	N	N	
Western-and-Wales	0715	17	GW174	WEL1	"Greenford South Jn – Greenford LUL
Bay Jn"	8	45	8	65	H	N	N	N	
Western-and-Wales	0715	18	GW174	WEL1	"Greenford LUL Bay Jn – Greenford
West Jn"	8	65	8	76	H	N	N	N	
Western-and-Wales	0715	19	GW175	WEL2	"Greenford LUL Bay Jn – Greenford
Station"	8	65	9	06	N	N	N	N	
Western-and-Wales	0715	20	GW176	HAN	Hanwell Jn – Drayton Green Jn	0	00	0	36	H	EH	N	N	
Western-and-Wales	0715	21	GW178	BRB	Southall – Brentford Goods	0	00	2	70	N	N	N	N	
Western-and-Wales	0715	22	GW180	HLL	"Heathrow Airport Jn (Up and Down
Main) – NR Boundary (BAA)"	11	04	12	27	N	Y	Y	N	
Western-and-Wales	0715	23	GW182	STA	"West Drayton Jn – End of Branch
(Colnbrook)"	13	31	16	25	N	N	N	N	
