Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	319	325	373	375	376	377	378	380	387	Notes
Kent-Sussex-Wessex	0856	1	SO620	BTL	Montpelier Jn – Lewes	0	14	7	77	Y	Y	H	N	Y	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	2	SO620	"KJE1/
2"	"Lewes – Southerham Jn [Duplicated on
SO590]"	49	74	51	11	Y	N	N	N	Y	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	3	SO620	STS	Southerham Jn – Newhaven Harbour Jn	51	11	56	55	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	4	SO620	NHB	"Newhaven Harbour Jn – Wharf Road
(Newhaven Marine)"	56	55	57	78	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	5	SO620	STS	Newhaven Harbour Jn – Seaford	56	55	58	77	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	6	SO630	BLI1	Brighton platforms 1 and 2 – Hove Jn	0	00	1	28	Y	R1	"H
R1"	N	N	N	Y	N	N	Y	R1Prohibited Brighton platform 1
Kent-Sussex-Wessex	0856	7	SO630	BLI1	Hove Jn – Hove platforms 2 and 3	1	28	1	35	Y	Y	H	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	8	SO630	PPH	"Hove Jn – Hove Up platform loop via
platform 1"	50	48	51	02	Y	Y	H	N	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0856	9	SO630	BLI1	"Hove Up platform loop and platforms 2,
and 3 – Arundel Jn"	1	28	19	01	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	10	SO630	BLI1	"Arundel Jn – Littlehampton Jn (Change
of Mileage)"	19	01	19	25	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	11	SO630	FJL	Littlehampton Jn – Ford Jn	60	57	60	26	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	12	SO630	BLI2	"Littlehampton Jn (Change of Mileage) –
Littlehampton"	60	57	62	03	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	13	SO640	BBR	Barnham – Bognor Regis	22	29	25	75	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0856	14	SO645	ATL	Battersea Park – Factory Jn	7	27	6	67	N	Y	H	N	Y	N	Y	Y	"EH
R1"	Y	"R1Prohibited between Battersea Park and
Voltaire Road Jn"
Kent-Sussex-Wessex	0856	15	SO645	ATL	Factory Jn  – Wandsworth Road Jn	6	67	6	53	N	Y	H	N	Y	Y	Y	Y	EH	Y	
Kent-Sussex-Wessex	0856	16	SO645	ATL	"Wandsworth Road Jn – Shepherds
Lane Jn"	6	53	5	68	N	Y	H	N	Y	Y	Y	Y	EH	Y	
Kent-Sussex-Wessex	0856	17	SO645	ATL	Shepherds Lane Jn – Crofton Road Jn	5	68	3	67	N	Y	H	N	Y	Y	Y	Y	EH	Y	
Kent-Sussex-Wessex	0856	18	SO645	ATL	Crofton Road Jn – Peckham Rye Jn	3	67	3	47	N	Y	H	N	Y	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	19	SO650	BBJ	Balham Jn (SO500) – Leigham Jn	4	69	6	31	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	20	SO650	BBJ	Leigham Jn – West Norwood Jn	6	31	6	58	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	21	SO650	BBJ	"West Norwood Jn – Crystal Palace
platforms 1 and 2"	6	58	8	56	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	22	SO650	SCP	"Crystal Palace platforms 3 - 6 –
Sydenham Up Jn"	7	52	6	49	N	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	23	SO650	BBJ	"Crystal Palace platforms 1 and 2 –
Bromley Up Jn"	8	56	9	36	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	24	SO650	BJN1	Bromley Up Jn – Norwood North Jn	9	36	9	75	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	25	SO650	BBJ	Bromley Up Jn – Bromley Down Jn	9	36	9	48	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	26	SO650	BJN2	Bromley Down Jn – Norwood North Jn	9	48	9	75	E	Y	H	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0856	27	SO650	BBJ	Bromley Down Jn – Beckenham Jn	9	48	11	62	N	Y	H	N	N	N	Y	N	N	Y	
