Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	170	172	180	185	220	221	222	Notes
London-North-Eastern	1012	1	LN898	HUL4	Neville Hill East Jn – Micklefield Jn	18	25	10	63	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	2	LN898	HUL4	"Micklefield Jn – Micklefield Change of
ELR"	10	63	10	60	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	3	LN898	HUL3	"Micklefield Change of ELR –
Gascoigne Wood Jn"	10	60	6	27	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	4	LN898	HUL3	Gascoigne Wood Jn – Selby West Jn	6	27	0	36	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	5	LN898	HUL3	Selby West Jn – Selby South Jn	0	36	0	00	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	6	LN898	HUL2	"Selby South Jn – Site of Former
Barlby Jn"	31	12	30	40	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	7	LN898	HUL1	"Site of Former Barlby Jn – Anlaby
Road Jn"	30	40	0	73	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	8	LN898	HUL1	Anlaby Road Jn – Hull	0	73	0	00	"R1
R2
R4
R6"	N	"R1
R5
R6"	"R1
R3
R6"	N	N	R1	"R1Prohibited Hull platform 1
R2Prohibited Hull platform 2
R3Prohibited the last 30m of Hull platform 2
R4Prohibited Hull platform 3 with deflated suspension
R5Prohibited Hull platform 3
R6Prohibited Hull Siding A"
London-North-Eastern	1012	9	LN900	HUE	Neville Hill West Jn – Hunslet East	0	00	0	55	N	N	N	N	N	N	N	
London-North-Eastern	1012	10	LN902	CFM	"Micklefield Jn – Church Fenton North
Jn"	15	62	10	31	Y	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	11	LN904	HSC	"Hambleton South Jn – Hambleton
West Jn"	174	10	175	33	N	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	12	LN906	HNC	"Hambleton East Jn –   Hambleton
North Jn"	3	34	4	00	N	N	Y	Y	Y	Y	Y	
London-North-Eastern	1012	13	LN908	SEC	Selby West Jn – Canal Jn	0	00	0	32	N	N	N	N	Y	Y	N	
London-North-Eastern	1012	14	LN910	TCW1	Temple Hirst Jn – Selby Canal Jn	169	16	173	59	Y	N	Y	N	Y	Y	Y	
London-North-Eastern	1012	15	LN910	TCW1	Selby Canal Jn – Selby South Jn	173	59	174	11	Y	N	Y	N	Y	Y	Y	
London-North-Eastern	1012	16	LN912	TJG1	"Thorne Jn – Thorne North Change of
ELR"	7	69	9	09	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	17	LN912	TJG2	"Thorne North Change of ELR –
Gilberdyke Jn"	14	06	0	00	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	18	LN914	HBS	"West Parade Jn – West Parade North
Jn"	0	25	0	72	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	19	LN914	HBS	"West Parade North Jn – Walton Street
Jn"	0	72	1	29	Y	N	Y	Y	N	N	Y	
London-North-Eastern	1012	20	LN914	HBS	Walton Street Jn – Seamer West Jn	1	29	50	43	N	N	R1	Y	N	N	N	R1Prohibited Beverley to Seamer West Jn
