Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge	Notes						
London-North-Eastern	1176	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12
London-North-Eastern	1176	2	LN3625	Nottingham East Jn – Newark Castle	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1176	3	LN3635	"Bottesford West Jn (Exclusive) –
Netherfield Jn"	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1176	4	LN3645	Netherfield Jn – Gedling Colliery	Y	N	N	N	N	N	N	N
